Date,Year,Month,Production,Storage,Unit
2023-12-01,2023,12,3615.0,847.1,Million Pounds
2023-11-01,2023,11,3817.3,822.63,Million Pounds
2023-10-01,2023,10,4177.3,795.13,Million Pounds
2023-09-01,2023,9,3805.5,793.45,Million Pounds
2023-08-01,2023,8,4156.7,810.06,Million Pounds
2023-07-01,2023,7,3717.2,825.62,Million Pounds
2023-06-01,2023,6,3956.3,799.55,Million Pounds
2023-05-01,2023,5,4043.4,791.82,Million Pounds
2023-04-01,2023,4,3545.0,814.57,Million Pounds
2023-03-01,2023,3,3992.2,827.48,Million Pounds
2023-02-01,2023,2,3585.0,826.88,Million Pounds
2023-01-01,2023,1,3971.9,892.37,Million Pounds
2022-12-01,2022,12,3851.6,874.59,Million Pounds
2022-11-01,2022,11,3940.9,848.87,Million Pounds
2022-10-01,2022,10,4068.5,831.48,Million Pounds
2022-09-01,2022,9,4000.5,791.0,Million Pounds
2022-08-01,2022,8,4211.0,775.03,Million Pounds
2022-07-01,2022,7,3684.8,738.52,Million Pounds
2022-06-01,2022,6,3934.9,713.09,Million Pounds
2022-05-01,2022,5,3778.9,730.96,Million Pounds
2022-04-01,2022,4,3564.9,747.53,Million Pounds
2022-03-01,2022,3,3995.0,747.86,Million Pounds
2022-02-01,2022,2,3484.5,734.72,Million Pounds
2022-01-01,2022,1,3690.3,705.15,Million Pounds
2021-12-01,2021,12,3700.1,709.4,Million Pounds
2021-11-01,2021,11,3665.3,720.91,Million Pounds
2021-10-01,2021,10,3827.8,699.81,Million Pounds
2021-09-01,2021,9,3928.5,676.6,Million Pounds
2021-08-01,2021,8,3902.0,691.5,Million Pounds
2021-07-01,2021,7,3750.4,700.29,Million Pounds
2021-06-01,2021,6,3923.6,690.1,Million Pounds
2021-05-01,2021,5,3611.6,680.6,Million Pounds
2021-04-01,2021,4,3696.7,699.62,Million Pounds
2021-03-01,2021,3,4009.5,729.8,Million Pounds
2021-02-01,2021,2,3270.8,778.54,Million Pounds
2021-01-01,2021,1,3613.0,829.68,Million Pounds
2020-12-01,2020,12,3720.2,849.48,Million Pounds
2020-11-01,2020,11,3478.1,874.05,Million Pounds
2020-10-01,2020,10,3848.9,850.85,Million Pounds
2020-09-01,2020,9,3878.4,848.72,Million Pounds
2020-08-01,2020,8,3733.9,845.79,Million Pounds
2020-07-01,2020,7,3745.8,836.43,Million Pounds
2020-06-01,2020,6,3780.0,830.83,Million Pounds
2020-05-01,2020,5,3560.1,899.83,Million Pounds
2020-04-01,2020,4,3600.3,880.16,Million Pounds
2020-03-01,2020,3,3862.1,880.61,Million Pounds
2020-02-01,2020,2,3418.5,914.63,Million Pounds
2020-01-01,2020,1,3957.1,936.69,Million Pounds
2019-12-01,2019,12,3647.3,945.98,Million Pounds
2019-11-01,2019,11,3427.1,919.26,Million Pounds
2019-10-01,2019,10,4100.1,875.79,Million Pounds
2019-09-01,2019,9,3680.5,849.46,Million Pounds
2019-08-01,2019,8,3845.9,811.8,Million Pounds
2019-07-01,2019,7,3875.3,803.35,Million Pounds
2019-06-01,2019,6,3526.6,803.98,Million Pounds
2019-05-01,2019,5,3827.9,847.97,Million Pounds
2019-04-01,2019,4,3590.1,834.62,Million Pounds
2019-03-01,2019,3,3409.8,831.61,Million Pounds
2019-02-01,2019,2,3263.1,814.13,Million Pounds
2019-01-01,2019,1,3711.3,844.55,Million Pounds
2018-12-01,2018,12,3228.7,898.7,Million Pounds
2018-11-01,2018,11,3450.7,908.33,Million Pounds
2018-10-01,2018,10,3909.0,923.66,Million Pounds
2018-09-01,2018,9,3417.9,887.14,Million Pounds
2018-08-01,2018,8,3892.3,837.77,Million Pounds
2018-07-01,2018,7,3629.5,847.52,Million Pounds
2018-06-01,2018,6,3492.8,841.15,Million Pounds
