"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Civilian employed population 16 years and over","Alabama","2,036,867","±5,904","2,036,867","(X)",2010
"Private wage and salary workers","Alabama","1,577,910","±5,502","77.50%","±0.2",2010
"Government workers","Alabama","332,613","±3,505","16.30%","±0.2",2010
"Self-employed in own not incorporated business workers","Alabama","122,738","±2,498","6.00%","±0.1",2010
"Unpaid family workers","Alabama","3,606","±397","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Alaska","332,126","±2,150","332,126","(X)",2010
"Private wage and salary workers","Alaska","222,955","±2,485","67.10%","±0.5",2010
"Government workers","Alaska","84,606","±1,614","25.50%","±0.5",2010
"Self-employed in own not incorporated business workers","Alaska","23,532","±785","7.10%","±0.2",2010
"Unpaid family workers","Alaska","1,033","±235","0.30%","±0.1",2010
"Civilian employed population 16 years and over","Arizona","2,747,475","±7,324","2,747,475","(X)",2010
"Private wage and salary workers","Arizona","2,154,992","±7,646","78.40%","±0.2",2010
"Government workers","Arizona","416,233","±5,281","15.10%","±0.2",2010
"Self-employed in own not incorporated business workers","Arizona","171,859","±3,235","6.30%","±0.1",2010
"Unpaid family workers","Arizona","4,391","±538","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Arkansas","1,254,140","±4,879","1,254,140","(X)",2010
"Private wage and salary workers","Arkansas","960,643","±5,085","76.60%","±0.3",2010
"Government workers","Arkansas","202,409","±3,415","16.10%","±0.3",2010
"Self-employed in own not incorporated business workers","Arkansas","88,186","±2,039","7.00%","±0.2",2010
"Unpaid family workers","Arkansas","2,902","±394","0.20%","±0.1",2010
"Civilian employed population 16 years and over","California","16,632,466","±19,046","16,632,466","(X)",2010
"Private wage and salary workers","California","12,729,790","±18,223","76.50%","±0.1",2010
"Government workers","California","2,425,341","±16,344","14.60%","±0.1",2010
"Self-employed in own not incorporated business workers","California","1,444,135","±9,645","8.70%","±0.1",2010
"Unpaid family workers","California","33,200","±1,326","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Colorado","2,456,139","±6,374","2,456,139","(X)",2010
"Private wage and salary workers","Colorado","1,923,666","±5,704","78.30%","±0.2",2010
"Government workers","Colorado","349,593","±4,064","14.20%","±0.2",2010
"Self-employed in own not incorporated business workers","Colorado","177,923","±3,356","7.20%","±0.1",2010
"Unpaid family workers","Colorado","4,957","±477","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Connecticut","1,765,549","±5,408","1,765,549","(X)",2010
"Private wage and salary workers","Connecticut","1,407,377","±5,950","79.70%","±0.2",2010
"Government workers","Connecticut","236,804","±3,401","13.40%","±0.2",2010
"Self-employed in own not incorporated business workers","Connecticut","118,702","±2,283","6.70%","±0.1",2010
"Unpaid family workers","Connecticut","2,666","±341","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Delaware","419,062","±2,855","419,062","(X)",2010
"Private wage and salary workers","Delaware","339,582","±2,552","81.00%","±0.4",2010
"Government workers","Delaware","60,859","±1,668","14.50%","±0.4",2010
"Self-employed in own not incorporated business workers","Delaware","18,143","±906","4.30%","±0.2",2010
"Unpaid family workers","Delaware","478","±155","0.10%","±0.1",2010
"Civilian employed population 16 years and over","District of Columbia","297,189","±2,534","297,189","(X)",2010
"Private wage and salary workers","District of Columbia","203,846","±2,417","68.60%","±0.6",2010
"Government workers","District of Columbia","78,192","±1,816","26.30%","±0.5",2010
"Self-employed in own not incorporated business workers","District of Columbia","14,869","±888","5.00%","±0.3",2010
"Unpaid family workers","District of Columbia","282","±121","0.10%","±0.1",2010
"Civilian employed population 16 years and over","Florida","8,317,203","±15,196","8,317,203","(X)",2010
"Private wage and salary workers","Florida","6,703,300","±13,530","80.60%","±0.1",2010
"Government workers","Florida","1,098,322","±10,377","13.20%","±0.1",2010
"Self-employed in own not incorporated business workers","Florida","501,579","±6,766","6.00%","±0.1",2010
"Unpaid family workers","Florida","14,002","±862","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Georgia","4,296,760","±9,294","4,296,760","(X)",2010
"Private wage and salary workers","Georgia","3,362,548","±9,209","78.30%","±0.2",2010
"Government workers","Georgia","675,962","±7,006","15.70%","±0.2",2010
"Self-employed in own not incorporated business workers","Georgia","249,838","±4,151","5.80%","±0.1",2010
"Unpaid family workers","Georgia","8,412","±702","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Hawaii","636,454","±3,786","636,454","(X)",2010
"Private wage and salary workers","Hawaii","455,520","±3,724","71.60%","±0.5",2010
"Government workers","Hawaii","128,536","±2,780","20.20%","±0.4",2010
"Self-employed in own not incorporated business workers","Hawaii","50,868","±1,560","8.00%","±0.2",2010
"Unpaid family workers","Hawaii","1,530","±331","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Idaho","698,898","±2,560","698,898","(X)",2010
"Private wage and salary workers","Idaho","530,315","±2,953","75.90%","±0.3",2010
"Government workers","Idaho","108,582","±2,288","15.50%","±0.3",2010
"Self-employed in own not incorporated business workers","Idaho","58,056","±1,694","8.30%","±0.2",2010
"Unpaid family workers","Idaho","1,945","±308","0.30%","±0.1",2010
"Civilian employed population 16 years and over","Illinois","6,062,848","±11,006","6,062,848","(X)",2010
"Private wage and salary workers","Illinois","4,965,671","±10,404","81.90%","±0.1",2010
"Government workers","Illinois","780,081","±6,758","12.90%","±0.1",2010
"Self-employed in own not incorporated business workers","Illinois","307,883","±3,798","5.10%","±0.1",2010
"Unpaid family workers","Illinois","9,213","±638","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Indiana","2,999,570","±7,274","2,999,570","(X)",2010
"Private wage and salary workers","Indiana","2,492,633","±6,379","83.10%","±0.1",2010
"Government workers","Indiana","350,347","±4,287","11.70%","±0.1",2010
"Self-employed in own not incorporated business workers","Indiana","151,454","±2,384","5.00%","±0.1",2010
"Unpaid family workers","Indiana","5,136","±565","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Iowa","1,553,594","±3,661","1,553,594","(X)",2010
"Private wage and salary workers","Iowa","1,221,421","±4,062","78.60%","±0.2",2010
"Government workers","Iowa","215,073","±3,102","13.80%","±0.2",2010
"Self-employed in own not incorporated business workers","Iowa","113,588","±1,829","7.30%","±0.1",2010
"Unpaid family workers","Iowa","3,512","±354","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Kansas","1,390,619","±4,168","1,390,619","(X)",2010
"Private wage and salary workers","Kansas","1,060,575","±4,477","76.30%","±0.2",2010
"Government workers","Kansas","228,678","±3,088","16.40%","±0.2",2010
"Self-employed in own not incorporated business workers","Kansas","98,084","±1,624","7.10%","±0.1",2010
"Unpaid family workers","Kansas","3,282","±397","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Kentucky","1,871,531","±5,208","1,871,531","(X)",2010
"Private wage and salary workers","Kentucky","1,466,073","±4,551","78.30%","±0.2",2010
"Government workers","Kentucky","286,254","±3,724","15.30%","±0.2",2010
"Self-employed in own not incorporated business workers","Kentucky","115,334","±2,081","6.20%","±0.1",2010
"Unpaid family workers","Kentucky","3,870","±437","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Louisiana","1,952,818","±5,980","1,952,818","(X)",2010
"Private wage and salary workers","Louisiana","1,505,474","±6,101","77.10%","±0.2",2010
"Government workers","Louisiana","323,145","±4,558","16.50%","±0.2",2010
"Self-employed in own not incorporated business workers","Louisiana","120,399","±3,066","6.20%","±0.2",2010
