"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Workers 16 years and over","Alabama","2,000,289","±6,235","2,000,289","(X)",2010
"Car, truck, or van -- drove alone","Alabama","1,672,185","±7,114","83.60%","±0.2",2010
"Car, truck, or van -- carpooled","Alabama","222,349","±3,524","11.10%","±0.2",2010
"Public transportation (excluding taxicab)","Alabama","9,062","±673","0.50%","±0.1",2010
"Walked","Alabama","25,007","±1,487","1.30%","±0.1",2010
"Other means","Alabama","21,128","±925","1.10%","±0.1",2010
"Worked at home","Alabama","50,558","±1,510","2.50%","±0.1",2010
"Mean travel time to work (minutes)","Alabama","23.9","±0.1","(X)","(X)",2010
"Workers 16 years and over","Alaska","334,044","±2,091","334,044","(X)",2010
"Car, truck, or van -- drove alone","Alaska","223,423","±2,339","66.90%","±0.6",2010
"Car, truck, or van -- carpooled","Alaska","44,858","±1,796","13.40%","±0.5",2010
"Public transportation (excluding taxicab)","Alaska","4,446","±461","1.30%","±0.1",2010
"Walked","Alaska","27,336","±1,343","8.20%","±0.4",2010
"Other means","Alaska","15,764","±792","4.70%","±0.2",2010
"Worked at home","Alaska","18,217","±1,327","5.50%","±0.4",2010
"Mean travel time to work (minutes)","Alaska","18.1","±0.3","(X)","(X)",2010
"Workers 16 years and over","Arizona","2,699,943","±7,551","2,699,943","(X)",2010
"Car, truck, or van -- drove alone","Arizona","2,040,572","±7,988","75.60%","±0.2",2010
"Car, truck, or van -- carpooled","Arizona","340,523","±5,845","12.60%","±0.2",2010
"Public transportation (excluding taxicab)","Arizona","54,275","±2,184","2.00%","±0.1",2010
"Walked","Arizona","59,454","±1,965","2.20%","±0.1",2010
"Other means","Arizona","66,021","±2,366","2.40%","±0.1",2010
"Worked at home","Arizona","139,098","±2,956","5.20%","±0.1",2010
"Mean travel time to work (minutes)","Arizona","24.8","±0.1","(X)","(X)",2010
"Workers 16 years and over","Arkansas","1,230,061","±4,977","1,230,061","(X)",2010
"Car, truck, or van -- drove alone","Arkansas","995,204","±4,759","80.90%","±0.3",2010
"Car, truck, or van -- carpooled","Arkansas","149,116","±3,024","12.10%","±0.2",2010
"Public transportation (excluding taxicab)","Arkansas","5,321","±562","0.40%","±0.1",2010
"Walked","Arkansas","22,094","±1,275","1.80%","±0.1",2010
"Other means","Arkansas","17,432","±980","1.40%","±0.1",2010
"Worked at home","Arkansas","40,894","±1,586","3.30%","±0.1",2010
"Mean travel time to work (minutes)","Arkansas","21.1","±0.1","(X)","(X)",2010
"Workers 16 years and over","California","16,271,905","±18,525","16,271,905","(X)",2010
"Car, truck, or van -- drove alone","California","11,870,741","±18,930","73.00%","±0.1",2010
"Car, truck, or van -- carpooled","California","1,939,796","±14,370","11.90%","±0.1",2010
"Public transportation (excluding taxicab)","California","834,363","±7,357","5.10%","±0.1",2010
"Walked","California","450,439","±5,924","2.80%","±0.1",2010
"Other means","California","370,747","±4,947","2.30%","±0.1",2010
"Worked at home","California","805,819","±7,293","5.00%","±0.1",2010
"Mean travel time to work (minutes)","California","26.9","±0.1","(X)","(X)",2010
"Workers 16 years and over","Colorado","2,429,357","±6,519","2,429,357","(X)",2010
"Car, truck, or van -- drove alone","Colorado","1,810,257","±6,944","74.50%","±0.2",2010
"Car, truck, or van -- carpooled","Colorado","254,404","±4,402","10.50%","±0.2",2010
"Public transportation (excluding taxicab)","Colorado","79,899","±2,330","3.30%","±0.1",2010
"Walked","Colorado","73,780","±2,194","3.00%","±0.1",2010
"Other means","Colorado","58,087","±1,577","2.40%","±0.1",2010
"Worked at home","Colorado","152,930","±2,684","6.30%","±0.1",2010
"Mean travel time to work (minutes)","Colorado","24.2","±0.1","(X)","(X)",2010
"Workers 16 years and over","Connecticut","1,726,096","±5,339","1,726,096","(X)",2010
"Car, truck, or van -- drove alone","Connecticut","1,364,621","±4,982","79.10%","±0.2",2010
"Car, truck, or van -- carpooled","Connecticut","143,679","±3,058","8.30%","±0.2",2010
"Public transportation (excluding taxicab)","Connecticut","76,305","±1,921","4.40%","±0.1",2010
"Walked","Connecticut","51,957","±1,763","3.00%","±0.1",2010
"Other means","Connecticut","21,463","±1,096","1.20%","±0.1",2010
"Worked at home","Connecticut","68,071","±1,729","3.90%","±0.1",2010
