"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Population 16 years and over","Alabama","3,714,504","±1,588","3,714,504","(X)",2010
"In labor force","Alabama","2,246,848","±5,576","60.50%","±0.1",2010
"Civilian labor force","Alabama","2,230,879","±5,531","60.10%","±0.1",2010
"Employed","Alabama","2,036,867","±5,904","54.80%","±0.2",2010
"Unemployed","Alabama","194,012","±3,179","5.20%","±0.1",2010
"Armed Forces","Alabama","15,969","±888","0.40%","±0.1",2010
"Not in labor force","Alabama","1,467,656","±5,401","39.50%","±0.1",2010
"Civilian labor force","Alabama","2,230,879","±5,531","2,230,879","(X)",2010
"Percent Unemployed","Alabama","(X)","(X)","8.70%","±0.1",2010
"Females 16 years and over","Alabama","1,939,093","±1,296","1,939,093","(X)",2010
"In labor force","Alabama","1,056,264","±4,410","54.50%","±0.2",2010
"Civilian labor force","Alabama","1,053,955","±4,417","54.40%","±0.2",2010
"Employed","Alabama","959,472","±4,545","49.50%","±0.2",2010
"Own children under 6 years","Alabama","343,965","±1,853","343,965","(X)",2010
"All parents in family in labor force","Alabama","221,589","±2,891","64.40%","±0.7",2010
"Own children 6 to 17 years","Alabama","711,997","±2,575","711,997","(X)",2010
"All parents in family in labor force","Alabama","495,825","±4,687","69.60%","±0.6",2010
"Population 16 years and over","Alaska","528,189","±576","528,189","(X)",2010
"In labor force","Alaska","380,443","±1,830","72.00%","±0.3",2010
"Civilian labor force","Alaska","363,357","±2,053","68.80%","±0.4",2010
"Employed","Alaska","332,126","±2,150","62.90%","±0.4",2010
"Unemployed","Alaska","31,231","±1,169","5.90%","±0.2",2010
"Armed Forces","Alaska","17,086","±991","3.20%","±0.2",2010
"Not in labor force","Alaska","147,746","±1,758","28.00%","±0.3",2010
"Civilian labor force","Alaska","363,357","±2,053","363,357","(X)",2010
"Percent Unemployed","Alaska","(X)","(X)","8.60%","±0.3",2010
"Females 16 years and over","Alaska","253,768","±631","253,768","(X)",2010
"In labor force","Alaska","169,506","±1,561","66.80%","±0.6",2010
"Civilian labor force","Alaska","167,437","±1,540","66.00%","±0.6",2010
"Employed","Alaska","155,023","±1,671","61.10%","±0.6",2010
"Own children under 6 years","Alaska","58,949","±631","58,949","(X)",2010
"All parents in family in labor force","Alaska","35,341","±1,136","60.00%","±1.8",2010
"Own children 6 to 17 years","Alaska","115,731","±919","115,731","(X)",2010
"All parents in family in labor force","Alaska","81,521","±1,561","70.40%","±1.2",2010
"Population 16 years and over","Arizona","4,813,496","±1,502","4,813,496","(X)",2010
"In labor force","Arizona","2,995,656","±7,547","62.20%","±0.2",2010
"Civilian labor force","Arizona","2,975,166","±7,606","61.80%","±0.2",2010
"Employed","Arizona","2,747,475","±7,324","57.10%","±0.2",2010
"Unemployed","Arizona","227,691","±3,977","4.70%","±0.1",2010
"Armed Forces","Arizona","20,490","±1,030","0.40%","±0.1",2010
"Not in labor force","Arizona","1,817,840","±7,475","37.80%","±0.2",2010
"Civilian labor force","Arizona","2,975,166","±7,606","2,975,166","(X)",2010
"Percent Unemployed","Arizona","(X)","(X)","7.70%","±0.1",2010
"Females 16 years and over","Arizona","2,437,925","±1,155","2,437,925","(X)",2010
"In labor force","Arizona","1,370,506","±5,167","56.20%","±0.2",2010
"Civilian labor force","Arizona","1,367,620","±5,136","56.10%","±0.2",2010
"Employed","Arizona","1,267,437","±5,172","52.00%","±0.2",2010
"Own children under 6 years","Arizona","530,317","±2,347","530,317","(X)",2010
"All parents in family in labor force","Arizona","308,619","±3,769","58.20%","±0.7",2010
"Own children 6 to 17 years","Arizona","990,907","±3,053","990,907","(X)",2010
"All parents in family in labor force","Arizona","664,252","±5,812","67.00%","±0.5",2010
"Population 16 years and over","Arkansas","2,247,624","±1,178","2,247,624","(X)",2010
"In labor force","Arkansas","1,367,999","±4,324","60.90%","±0.2",2010
"Civilian labor force","Arkansas","1,360,938","±4,367","60.60%","±0.2",2010
"Employed","Arkansas","1,254,140","±4,879","55.80%","±0.2",2010
"Unemployed","Arkansas","106,798","±2,496","4.80%","±0.1",2010
"Armed Forces","Arkansas","7,061","±518","0.30%","±0.1",2010
"Not in labor force","Arkansas","879,625","±4,710","39.10%","±0.2",2010
"Civilian labor force","Arkansas","1,360,938","±4,367","1,360,938","(X)",2010
"Percent Unemployed","Arkansas","(X)","(X)","7.80%","±0.2",2010
"Females 16 years and over","Arkansas","1,159,458","±1,048","1,159,458","(X)",2010
"In labor force","Arkansas","646,087","±3,053","55.70%","±0.3",2010
"Civilian labor force","Arkansas","644,990","±3,044","55.60%","±0.3",2010
"Employed","Arkansas","595,968","±3,090","51.40%","±0.3",2010
"Own children under 6 years","Arkansas","223,344","±1,829","223,344","(X)",2010
"All parents in family in labor force","Arkansas","145,727","±2,269","65.20%","±0.8",2010
"Own children 6 to 17 years","Arkansas","432,299","±2,232","432,299","(X)",2010
"All parents in family in labor force","Arkansas","306,267","±3,563","70.80%","±0.7",2010
"Population 16 years and over","California","28,445,585","±4,159","28,445,585","(X)",2010
"In labor force","California","18,418,306","±17,253","64.70%","±0.1",2010
"Civilian labor force","California","18,274,871","±17,360","64.20%","±0.1",2010
"Employed","California","16,632,466","±19,046","58.50%","±0.1",2010
"Unemployed","California","1,642,405","±9,158","5.80%","±0.1",2010
"Armed Forces","California","143,435","±2,902","0.50%","±0.1",2010
"Not in labor force","California","10,027,279","±16,830","35.30%","±0.1",2010
"Civilian labor force","California","18,274,871","±17,360","18,274,871","(X)",2010
"Percent Unemployed","California","(X)","(X)","9.00%","±0.1",2010
"Females 16 years and over","California","14,411,604","±3,532","14,411,604","(X)",2010
"In labor force","California","8,356,461","±11,780","58.00%","±0.1",2010
"Civilian labor force","California","8,338,362","±11,988","57.90%","±0.1",2010
"Employed","California","7,594,598","±11,990","52.70%","±0.1",2010
"Own children under 6 years","California","2,916,428","±5,717","2,916,428","(X)",2010
"All parents in family in labor force","California","1,723,095","±9,837","59.10%","±0.3",2010
"Own children 6 to 17 years","California","5,908,339","±7,204","5,908,339","(X)",2010
"All parents in family in labor force","California","3,917,569","±11,928","66.30%","±0.2",2010
"Population 16 years and over","Colorado","3,820,290","±1,699","3,820,290","(X)",2010
"In labor force","Colorado","2,666,975","±6,071","69.80%","±0.2",2010
"Civilian labor force","Colorado","2,636,627","±6,024","69.00%","±0.2",2010
