"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"All families","Alabama","(X)","(X)","13.00%","±0.2",2010
"With related children under 18 years","Alabama","(X)","(X)","20.50%","±0.3",2010
"With related children under 5 years only","Alabama","(X)","(X)","22.60%","±0.9",2010
"Married couple families","Alabama","(X)","(X)","5.60%","±0.2",2010
"With related children under 18 years","Alabama","(X)","(X)","8.00%","±0.3",2010
"With related children under 5 years only","Alabama","(X)","(X)","8.40%","±0.9",2010
"Families with female householder, no husband present","Alabama","(X)","(X)","36.30%","±0.6",2010
"With related children under 18 years","Alabama","(X)","(X)","45.90%","±0.8",2010
"With related children under 5 years only","Alabama","(X)","(X)","53.10%","±1.9",2010
"All people","Alabama","(X)","(X)","17.10%","±0.2",2010
"Under 18 years","Alabama","(X)","(X)","24.20%","±0.4",2010
"Related children under 18 years","Alabama","(X)","(X)","24.00%","±0.4",2010
"Related children under 5 years","Alabama","(X)","(X)","28.20%","±0.7",2010
"Related children 5 to 17 years","Alabama","(X)","(X)","22.40%","±0.5",2010
"18 years and over","Alabama","(X)","(X)","14.80%","±0.2",2010
"18 to 64 years","Alabama","(X)","(X)","15.50%","±0.2",2010
"65 years and over","Alabama","(X)","(X)","11.60%","±0.2",2010
"People in families","Alabama","(X)","(X)","14.50%","±0.2",2010
"Unrelated individuals 15 years and over","Alabama","(X)","(X)","30.50%","±0.4",2010
"All families","Alaska","(X)","(X)","6.60%","±0.4",2010
"With related children under 18 years","Alaska","(X)","(X)","10.60%","±0.6",2010
"With related children under 5 years only","Alaska","(X)","(X)","14.00%","±1.8",2010
"Married couple families","Alaska","(X)","(X)","2.60%","±0.2",2010
"With related children under 18 years","Alaska","(X)","(X)","4.00%","±0.4",2010
"With related children under 5 years only","Alaska","(X)","(X)","4.20%","±1.2",2010
"Families with female householder, no husband present","Alaska","(X)","(X)","22.60%","±1.6",2010
"With related children under 18 years","Alaska","(X)","(X)","28.10%","±1.9",2010
"With related children under 5 years only","Alaska","(X)","(X)","41.40%","±6.0",2010
"All people","Alaska","(X)","(X)","9.50%","±0.3",2010
"Under 18 years","Alaska","(X)","(X)","13.00%","±0.8",2010
"Related children under 18 years","Alaska","(X)","(X)","12.50%","±0.7",2010
"Related children under 5 years","Alaska","(X)","(X)","16.50%","±1.2",2010
"Related children 5 to 17 years","Alaska","(X)","(X)","10.90%","±0.7",2010
"18 years and over","Alaska","(X)","(X)","8.20%","±0.3",2010
"18 to 64 years","Alaska","(X)","(X)","8.60%","±0.3",2010
"65 years and over","Alaska","(X)","(X)","4.50%","±0.7",2010
"People in families","Alaska","(X)","(X)","7.30%","±0.4",2010
"Unrelated individuals 15 years and over","Alaska","(X)","(X)","18.40%","±0.8",2010
"All families","Arizona","(X)","(X)","10.90%","±0.2",2010
"With related children under 18 years","Arizona","(X)","(X)","17.20%","±0.3",2010
"With related children under 5 years only","Arizona","(X)","(X)","17.70%","±0.9",2010
"Married couple families","Arizona","(X)","(X)","6.20%","±0.2",2010
"With related children under 18 years","Arizona","(X)","(X)","9.60%","±0.4",2010
"With related children under 5 years only","Arizona","(X)","(X)","8.30%","±0.8",2010
"Families with female householder, no husband present","Arizona","(X)","(X)","28.60%","±0.6",2010
"With related children under 18 years","Arizona","(X)","(X)","35.90%","±0.8",2010
"With related children under 5 years only","Arizona","(X)","(X)","43.50%","±1.9",2010
"All people","Arizona","(X)","(X)","15.30%","±0.2",2010
"Under 18 years","Arizona","(X)","(X)","21.60%","±0.4",2010
"Related children under 18 years","Arizona","(X)","(X)","21.20%","±0.4",2010
"Related children under 5 years","Arizona","(X)","(X)","24.60%","±0.7",2010
"Related children 5 to 17 years","Arizona","(X)","(X)","19.80%","±0.4",2010
"18 years and over","Arizona","(X)","(X)","13.10%","±0.2",2010
"18 to 64 years","Arizona","(X)","(X)","14.20%","±0.2",2010
"65 years and over","Arizona","(X)","(X)","8.10%","±0.2",2010
"People in families","Arizona","(X)","(X)","13.20%","±0.2",2010
"Unrelated individuals 15 years and over","Arizona","(X)","(X)","24.10%","±0.4",2010
"All families","Arkansas","(X)","(X)","13.50%","±0.3",2010
"With related children under 18 years","Arkansas","(X)","(X)","21.90%","±0.5",2010
