"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Civilian noninstitutionalized population","Alabama","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Alabama","(X)","(X)","(X)","(X)",2010
"With private health insurance","Alabama","(X)","(X)","(X)","(X)",2010
"With public coverage","Alabama","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Alabama","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Alabama","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Alabama","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Alabama","(X)","(X)","(X)","(X)",2010
"In labor force:","Alabama","(X)","(X)","(X)","(X)",2010
"Employed:","Alabama","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Alabama","(X)","(X)","(X)","(X)",2010
"With private health insurance","Alabama","(X)","(X)","(X)","(X)",2010
"With public coverage","Alabama","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Alabama","(X)","(X)","(X)","(X)",2010
"Unemployed:","Alabama","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Alabama","(X)","(X)","(X)","(X)",2010
"With private health insurance","Alabama","(X)","(X)","(X)","(X)",2010
"With public coverage","Alabama","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Alabama","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Alabama","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Alabama","(X)","(X)","(X)","(X)",2010
"With private health insurance","Alabama","(X)","(X)","(X)","(X)",2010
"With public coverage","Alabama","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Alabama","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Alaska","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Alaska","(X)","(X)","(X)","(X)",2010
"With private health insurance","Alaska","(X)","(X)","(X)","(X)",2010
"With public coverage","Alaska","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Alaska","(X)","(X)","(X)","(X)",2010
