"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Total households","Alabama","1,821,210","±5,620","1,821,210","(X)",2010
"Less than $10,000","Alabama","186,689","±2,960","10.30%","±0.2",2010
"$10,000 to $14,999","Alabama","130,766","±2,430","7.20%","±0.1",2010
"$15,000 to $24,999","Alabama","242,846","±3,336","13.30%","±0.2",2010
"$25,000 to $34,999","Alabama","213,143","±3,101","11.70%","±0.2",2010
"$35,000 to $49,999","Alabama","268,333","±2,884","14.70%","±0.2",2010
"$50,000 to $74,999","Alabama","321,908","±3,206","17.70%","±0.2",2010
"$75,000 to $99,999","Alabama","192,900","±2,725","10.60%","±0.1",2010
"$100,000 to $149,999","Alabama","170,962","±2,293","9.40%","±0.1",2010
"$150,000 to $199,999","Alabama","51,342","±1,435","2.80%","±0.1",2010
"$200,000 or more","Alabama","42,321","±1,379","2.30%","±0.1",2010
"Median household income (dollars)","Alabama","42,081","±183","(X)","(X)",2010
"Mean household income (dollars)","Alabama","57,655","±324","(X)","(X)",2010
"With earnings","Alabama","1,375,312","±5,483","75.50%","±0.2",2010
"Mean earnings (dollars)","Alabama","59,429","±337","(X)","(X)",2010
"With Social Security","Alabama","581,286","±3,317","31.90%","±0.2",2010
"Mean Social Security income (dollars)","Alabama","14,708","±63","(X)","(X)",2010
"With retirement income","Alabama","360,801","±3,015","19.80%","±0.2",2010
"Mean retirement income (dollars)","Alabama","19,484","±277","(X)","(X)",2010
"With Supplemental Security Income","Alabama","101,261","±1,718","5.60%","±0.1",2010
"Mean Supplemental Security Income (dollars)","Alabama","7,380","±83","(X)","(X)",2010
"With cash public assistance income","Alabama","27,259","±1,201","1.50%","±0.1",2010
"Mean cash public assistance income (dollars)","Alabama","2,462","±114","(X)","(X)",2010
"With Food Stamp/SNAP benefits in the past 12 months","Alabama","206,852","±2,794","11.40%","±0.2",2010
"Families","Alabama","1,240,503","±5,644","1,240,503","(X)",2010
"Less than $10,000","Alabama","77,266","±1,753","6.20%","±0.1",2010
"$10,000 to $14,999","Alabama","51,661","±1,702","4.20%","±0.1",2010
"$15,000 to $24,999","Alabama","134,411","±2,704","10.80%","±0.2",2010
"$25,000 to $34,999","Alabama","135,455","±2,384","10.90%","±0.2",2010
"$35,000 to $49,999","Alabama","186,628","±2,386","15.00%","±0.2",2010
"$50,000 to $74,999","Alabama","250,511","±2,954","20.20%","±0.2",2010
"$75,000 to $99,999","Alabama","166,186","±2,748","13.40%","±0.2",2010
"$100,000 to $149,999","Alabama","153,299","±2,317","12.40%","±0.2",2010
"$150,000 to $199,999","Alabama","46,689","±1,328","3.80%","±0.1",2010
"$200,000 or more","Alabama","38,397","±1,280","3.10%","±0.1",2010
"Median family income (dollars)","Alabama","52,863","±342","(X)","(X)",2010
"Mean family income (dollars)","Alabama","68,275","±470","(X)","(X)",2010
"Per capita income (dollars)","Alabama","22,984","±139","(X)","(X)",2010
"Nonfamily households","Alabama","580,707","±3,853","580,707","(X)",2010
"Median nonfamily income (dollars)","Alabama","22,933","±259","(X)","(X)",2010
"Mean nonfamily income (dollars)","Alabama","33,317","±405","(X)","(X)",2010
"Median earnings for workers (dollars)","Alabama","25,994","±118","(X)","(X)",2010
"Median earnings for male full-time, year-round workers (dollars)","Alabama","42,132","±230","(X)","(X)",2010
"Median earnings for female full-time, year-round workers (dollars)","Alabama","31,004","±161","(X)","(X)",2010
"Total households","Alaska","248,248","±1,590","248,248","(X)",2010
"Less than $10,000","Alaska","9,768","±661","3.90%","±0.3",2010
"$10,000 to $14,999","Alaska","9,499","±601","3.80%","±0.2",2010
"$15,000 to $24,999","Alaska","18,795","±899","7.60%","±0.4",2010
"$25,000 to $34,999","Alaska","22,086","±868","8.90%","±0.4",2010
"$35,000 to $49,999","Alaska","31,304","±1,076","12.60%","±0.4",2010
"$50,000 to $74,999","Alaska","47,498","±1,237","19.10%","±0.5",2010
"$75,000 to $99,999","Alaska","37,780","±1,087","15.20%","±0.4",2010
"$100,000 to $149,999","Alaska","44,627","±1,233","18.00%","±0.5",2010
"$150,000 to $199,999","Alaska","15,578","±653","6.30%","±0.3",2010
"$200,000 or more","Alaska","11,313","±565","4.60%","±0.2",2010
"Median household income (dollars)","Alaska","66,521","±642","(X)","(X)",2010
"Mean household income (dollars)","Alaska","82,091","±921","(X)","(X)",2010
"With earnings","Alaska","219,571","±1,689","88.40%","±0.3",2010
"Mean earnings (dollars)","Alaska","76,891","±956","(X)","(X)",2010
"With Social Security","Alaska","44,041","±712","17.70%","±0.3",2010
"Mean Social Security income (dollars)","Alaska","14,409","±257","(X)","(X)",2010
"With retirement income","Alaska","42,456","±1,035","17.10%","±0.4",2010
"Mean retirement income (dollars)","Alaska","27,187","±951","(X)","(X)",2010
"With Supplemental Security Income","Alaska","7,981","±553","3.20%","±0.2",2010
"Mean Supplemental Security Income (dollars)","Alaska","7,740","±328","(X)","(X)",2010
"With cash public assistance income","Alaska","15,833","±786","6.40%","±0.3",2010
"Mean cash public assistance income (dollars)","Alaska","4,041","±193","(X)","(X)",2010
"With Food Stamp/SNAP benefits in the past 12 months","Alaska","21,968","±815","8.80%","±0.3",2010
"Families","Alaska","168,684","±1,846","168,684","(X)",2010
"Less than $10,000","Alaska","4,604","±420","2.70%","±0.2",2010
"$10,000 to $14,999","Alaska","3,721","±365","2.20%","±0.2",2010
"$15,000 to $24,999","Alaska","9,018","±664","5.30%","±0.4",2010
"$25,000 to $34,999","Alaska","12,872","±724","7.60%","±0.4",2010
"$35,000 to $49,999","Alaska","18,340","±837","10.90%","±0.5",2010
"$50,000 to $74,999","Alaska","32,306","±1,147","19.20%","±0.6",2010
"$75,000 to $99,999","Alaska","28,484","±829","16.90%","±0.5",2010
"$100,000 to $149,999","Alaska","36,112","±1,060","21.40%","±0.6",2010
"$150,000 to $199,999","Alaska","13,446","±586","8.00%","±0.3",2010
"$200,000 or more","Alaska","9,781","±512","5.80%","±0.3",2010
"Median family income (dollars)","Alaska","77,886","±1,027","(X)","(X)",2010
"Mean family income (dollars)","Alaska","93,053","±1,312","(X)","(X)",2010
"Per capita income (dollars)","Alaska","30,726","±336","(X)","(X)",2010
"Nonfamily households","Alaska","79,564","±1,479","79,564","(X)",2010
"Median nonfamily income (dollars)","Alaska","42,502","±1,002","(X)","(X)",2010
"Mean nonfamily income (dollars)","Alaska","53,784","±975","(X)","(X)",2010
"Median earnings for workers (dollars)","Alaska","32,389","±339","(X)","(X)",2010
"Median earnings for male full-time, year-round workers (dollars)","Alaska","53,558","±706","(X)","(X)",2010
"Median earnings for female full-time, year-round workers (dollars)","Alaska","40,434","±543","(X)","(X)",2010
"Total households","Arizona","2,326,468","±7,863","2,326,468","(X)",2010
"Less than $10,000","Arizona","163,071","±3,167","7.00%","±0.1",2010
"$10,000 to $14,999","Arizona","119,317","±2,247","5.10%","±0.1",2010
"$15,000 to $24,999","Arizona","251,762","±3,240","10.80%","±0.1",2010
"$25,000 to $34,999","Arizona","263,031","±3,912","11.30%","±0.2",2010
"$35,000 to $49,999","Arizona","355,659","±4,201","15.30%","±0.2",2010
"$50,000 to $74,999","Arizona","446,445","±4,525","19.20%","±0.2",2010
"$75,000 to $99,999","Arizona","286,189","±3,629","12.30%","±0.1",2010
"$100,000 to $149,999","Arizona","275,283","±3,695","11.80%","±0.1",2010
"$150,000 to $199,999","Arizona","85,914","±1,721","3.70%","±0.1",2010
"$200,000 or more","Arizona","79,797","±1,659","3.40%","±0.1",2010
"Median household income (dollars)","Arizona","50,448","±217","(X)","(X)",2010
"Mean household income (dollars)","Arizona","67,436","±289","(X)","(X)",2010
"With earnings","Arizona","1,820,138","±7,508","78.20%","±0.1",2010
"Mean earnings (dollars)","Arizona","67,643","±293","(X)","(X)",2010
"With Social Security","Arizona","665,979","±3,881","28.60%","±0.1",2010
"Mean Social Security income (dollars)","Arizona","16,258","±74","(X)","(X)",2010
"With retirement income","Arizona","439,525","±4,330","18.90%","±0.2",2010
"Mean retirement income (dollars)","Arizona","22,890","±288","(X)","(X)",2010
"With Supplemental Security Income","Arizona","74,011","±1,933","3.20%","±0.1",2010
"Mean Supplemental Security Income (dollars)","Arizona","8,658","±149","(X)","(X)",2010
"With cash public assistance income","Arizona","51,253","±1,409","2.20%","±0.1",2010
"Mean cash public assistance income (dollars)","Arizona","3,257","±111","(X)","(X)",2010
"With Food Stamp/SNAP benefits in the past 12 months","Arizona","212,791","±3,171","9.10%","±0.1",2010
"Families","Arizona","1,542,305","±8,700","1,542,305","(X)",2010
"Less than $10,000","Arizona","74,956","±1,758","4.90%","±0.1",2010
"$10,000 to $14,999","Arizona","50,324","±1,628","3.30%","±0.1",2010
"$15,000 to $24,999","Arizona","130,609","±2,427","8.50%","±0.2",2010
"$25,000 to $34,999","Arizona","155,780","±2,869","10.10%","±0.2",2010
"$35,000 to $49,999","Arizona","225,431","±3,560","14.60%","±0.2",2010
"$50,000 to $74,999","Arizona","316,972","±4,393","20.60%","±0.2",2010
"$75,000 to $99,999","Arizona","222,237","±3,025","14.40%","±0.2",2010
"$100,000 to $149,999","Arizona","224,768","±3,321","14.60%","±0.2",2010
"$150,000 to $199,999","Arizona","72,658","±1,648","4.70%","±0.1",2010
"$200,000 or more","Arizona","68,570","±1,570","4.40%","±0.1",2010
"Median family income (dollars)","Arizona","59,840","±323","(X)","(X)",2010
"Mean family income (dollars)","Arizona","77,127","±377","(X)","(X)",2010
"Per capita income (dollars)","Arizona","25,680","±122","(X)","(X)",2010
"Nonfamily households","Arizona","784,163","±5,236","784,163","(X)",2010
"Median nonfamily income (dollars)","Arizona","33,003","±325","(X)","(X)",2010
"Mean nonfamily income (dollars)","Arizona","45,232","±492","(X)","(X)",2010
"Median earnings for workers (dollars)","Arizona","29,573","±192","(X)","(X)",2010
"Median earnings for male full-time, year-round workers (dollars)","Arizona","44,021","±291","(X)","(X)",2010
"Median earnings for female full-time, year-round workers (dollars)","Arizona","35,675","±192","(X)","(X)",2010
"Total households","Arkansas","1,117,154","±4,134","1,117,154","(X)",2010
"Less than $10,000","Arkansas","110,110","±2,188","9.90%","±0.2",2010
"$10,000 to $14,999","Arkansas","86,244","±2,101","7.70%","±0.2",2010
"$15,000 to $24,999","Arkansas","161,759","±2,734","14.50%","±0.2",2010
"$25,000 to $34,999","Arkansas","145,279","±2,653","13.00%","±0.2",2010
"$35,000 to $49,999","Arkansas","175,890","±2,546","15.70%","±0.2",2010
"$50,000 to $74,999","Arkansas","198,443","±2,732","17.80%","±0.2",2010
"$75,000 to $99,999","Arkansas","108,197","±2,037","9.70%","±0.2",2010
"$100,000 to $149,999","Arkansas","86,543","±1,822","7.70%","±0.2",2010
"$150,000 to $199,999","Arkansas","24,030","±1,116","2.20%","±0.1",2010
"$200,000 or more","Arkansas","20,659","±979","1.80%","±0.1",2010
"Median household income (dollars)","Arkansas","39,267","±283","(X)","(X)",2010
"Mean household income (dollars)","Arkansas","53,253","±383","(X)","(X)",2010
"With earnings","Arkansas","844,974","±3,958","75.60%","±0.2",2010
"Mean earnings (dollars)","Arkansas","54,549","±398","(X)","(X)",2010
"With Social Security","Arkansas","371,365","±2,734","33.20%","±0.2",2010
"Mean Social Security income (dollars)","Arkansas","14,664","±63","(X)","(X)",2010
"With retirement income","Arkansas","193,963","±2,337","17.40%","±0.2",2010
"Mean retirement income (dollars)","Arkansas","17,331","±361","(X)","(X)",2010
"With Supplemental Security Income","Arkansas","59,868","±1,555","5.40%","±0.1",2010
"Mean Supplemental Security Income (dollars)","Arkansas","7,288","±125","(X)","(X)",2010
"With cash public assistance income","Arkansas","20,237","±889","1.80%","±0.1",2010
"Mean cash public assistance income (dollars)","Arkansas","2,711","±140","(X)","(X)",2010
"With Food Stamp/SNAP benefits in the past 12 months","Arkansas","140,510","±2,459","12.60%","±0.2",2010
"Families","Arkansas","762,763","±4,435","762,763","(X)",2010
"Less than $10,000","Arkansas","44,829","±1,511","5.90%","±0.2",2010
"$10,000 to $14,999","Arkansas","35,009","±1,461","4.60%","±0.2",2010
"$15,000 to $24,999","Arkansas","93,379","±1,941","12.20%","±0.3",2010
"$25,000 to $34,999","Arkansas","94,332","±2,253","12.40%","±0.3",2010
"$35,000 to $49,999","Arkansas","125,297","±2,250","16.40%","±0.3",2010
"$50,000 to $74,999","Arkansas","158,304","±2,453","20.80%","±0.3",2010
"$75,000 to $99,999","Arkansas","93,643","±1,980","12.30%","±0.2",2010
"$100,000 to $149,999","Arkansas","77,578","±1,837","10.20%","±0.2",2010
"$150,000 to $199,999","Arkansas","21,831","±1,021","2.90%","±0.1",2010
"$200,000 or more","Arkansas","18,561","±850","2.40%","±0.1",2010
"Median family income (dollars)","Arkansas","48,491","±372","(X)","(X)",2010
"Mean family income (dollars)","Arkansas","62,497","±479","(X)","(X)",2010
"Per capita income (dollars)","Arkansas","21,274","±151","(X)","(X)",2010
"Nonfamily households","Arkansas","354,391","±3,501","354,391","(X)",2010
"Median nonfamily income (dollars)","Arkansas","22,039","±289","(X)","(X)",2010
"Mean nonfamily income (dollars)","Arkansas","31,538","±478","(X)","(X)",2010
"Median earnings for workers (dollars)","Arkansas","24,084","±209","(X)","(X)",2010
"Median earnings for male full-time, year-round workers (dollars)","Arkansas","37,904","±420","(X)","(X)",2010
"Median earnings for female full-time, year-round workers (dollars)","Arkansas","28,559","±309","(X)","(X)",2010
"Total households","California","12,392,852","±22,329","12,392,852","(X)",2010
"Less than $10,000","California","658,672","±6,172","5.30%","±0.1",2010
"$10,000 to $14,999","California","631,056","±4,962","5.10%","±0.1",2010
"$15,000 to $24,999","California","1,173,282","±7,201","9.50%","±0.1",2010
"$25,000 to $34,999","California","1,133,156","±9,092","9.10%","±0.1",2010
"$35,000 to $49,999","California","1,568,638","±8,671","12.70%","±0.1",2010
"$50,000 to $74,999","California","2,183,946","±9,855","17.60%","±0.1",2010
"$75,000 to $99,999","California","1,586,032","±7,648","12.80%","±0.1",2010
"$100,000 to $149,999","California","1,861,933","±10,837","15.00%","±0.1",2010
"$150,000 to $199,999","California","790,965","±5,973","6.40%","±0.1",2010
"$200,000 or more","California","805,172","±6,073","6.50%","±0.1",2010
"Median household income (dollars)","California","60,883","±150","(X)","(X)",2010
"Mean household income (dollars)","California","83,483","±187","(X)","(X)",2010
"With earnings","California","10,172,024","±19,256","82.10%","±0.1",2010
"Mean earnings (dollars)","California","83,444","±192","(X)","(X)",2010
"With Social Security","California","2,976,629","±12,855","24.00%","±0.1",2010
"Mean Social Security income (dollars)","California","15,212","±36","(X)","(X)",2010
"With retirement income","California","1,892,554","±11,814","15.30%","±0.1",2010
"Mean retirement income (dollars)","California","24,894","±148","(X)","(X)",2010
"With Supplemental Security Income","California","616,516","±5,298","5.00%","±0.1",2010
"Mean Supplemental Security Income (dollars)","California","9,235","±50","(X)","(X)",2010
"With cash public assistance income","California","421,623","±4,676","3.40%","±0.1",2010
"Mean cash public assistance income (dollars)","California","5,556","±52","(X)","(X)",2010
"With Food Stamp/SNAP benefits in the past 12 months","California","673,449","±6,518","5.40%","±0.1",2010
"Families","California","8,495,322","±22,852","8,495,322","(X)",2010
"Less than $10,000","California","329,646","±4,421","3.90%","±0.1",2010
"$10,000 to $14,999","California","259,632","±3,499","3.10%","±0.1",2010
"$15,000 to $24,999","California","698,102","±5,812","8.20%","±0.1",2010
"$25,000 to $34,999","California","721,699","±6,775","8.50%","±0.1",2010
"$35,000 to $49,999","California","1,039,938","±6,830","12.20%","±0.1",2010
"$50,000 to $74,999","California","1,510,291","±8,925","17.80%","±0.1",2010
"$75,000 to $99,999","California","1,162,671","±8,402","13.70%","±0.1",2010
"$100,000 to $149,999","California","1,459,066","±11,216","17.20%","±0.1",2010
"$150,000 to $199,999","California","645,076","±6,326","7.60%","±0.1",2010
"$200,000 or more","California","669,201","±6,012","7.90%","±0.1",2010
"Median family income (dollars)","California","69,322","±291","(X)","(X)",2010
"Mean family income (dollars)","California","92,942","±286","(X)","(X)",2010
"Per capita income (dollars)","California","29,188","±91","(X)","(X)",2010
"Nonfamily households","California","3,897,530","±10,993","3,897,530","(X)",2010
"Median nonfamily income (dollars)","California","40,588","±192","(X)","(X)",2010
"Mean nonfamily income (dollars)","California","58,117","±283","(X)","(X)",2010
"Median earnings for workers (dollars)","California","31,245","±63","(X)","(X)",2010
"Median earnings for male full-time, year-round workers (dollars)","California","49,517","±254","(X)","(X)",2010
"Median earnings for female full-time, year-round workers (dollars)","California","41,036","±125","(X)","(X)",2010
"Total households","Colorado","1,918,959","±5,137","1,918,959","(X)",2010
"Less than $10,000","Colorado","122,798","±2,254","6.40%","±0.1",2010
"$10,000 to $14,999","Colorado","89,897","±2,257","4.70%","±0.1",2010
"$15,000 to $24,999","Colorado","183,803","±2,376","9.60%","±0.1",2010
"$25,000 to $34,999","Colorado","186,995","±2,707","9.70%","±0.1",2010
"$35,000 to $49,999","Colorado","267,520","±2,994","13.90%","±0.2",2010
"$50,000 to $74,999","Colorado","363,275","±3,726","18.90%","±0.2",2010
"$75,000 to $99,999","Colorado","252,226","±3,140","13.10%","±0.2",2010
"$100,000 to $149,999","Colorado","269,372","±3,467","14.00%","±0.2",2010
"$150,000 to $199,999","Colorado","96,480","±1,795","5.00%","±0.1",2010
"$200,000 or more","Colorado","86,593","±1,861","4.50%","±0.1",2010
"Median household income (dollars)","Colorado","56,456","±309","(X)","(X)",2010
