"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Civilian employed population 16 years and over","Alabama","2,036,867","±5,904","2,036,867","(X)",2010
"Management, business, science, and arts occupations","Alabama","636,382","±5,590","31.20%","±0.3",2010
"Service occupations","Alabama","321,733","±4,276","15.80%","±0.2",2010
"Sales and office occupations","Alabama","515,875","±4,481","25.30%","±0.2",2010
"Natural resources, construction, and maintenance occupations","Alabama","234,116","±2,768","11.50%","±0.1",2010
"Production, transportation, and material moving occupations","Alabama","328,761","±3,846","16.10%","±0.2",2010
"Civilian employed population 16 years and over","Alaska","332,126","±2,150","332,126","(X)",2010
"Management, business, science, and arts occupations","Alaska","116,527","±1,685","35.10%","±0.5",2010
"Service occupations","Alaska","55,566","±1,484","16.70%","±0.4",2010
"Sales and office occupations","Alaska","79,722","±1,927","24.00%","±0.5",2010
"Natural resources, construction, and maintenance occupations","Alaska","42,278","±1,540","12.70%","±0.4",2010
"Production, transportation, and material moving occupations","Alaska","38,033","±1,470","11.50%","±0.4",2010
"Civilian employed population 16 years and over","Arizona","2,747,475","±7,324","2,747,475","(X)",2010
"Management, business, science, and arts occupations","Arizona","948,700","±7,134","34.50%","±0.2",2010
"Service occupations","Arizona","499,205","±5,385","18.20%","±0.2",2010
"Sales and office occupations","Arizona","741,757","±5,482","27.00%","±0.2",2010
"Natural resources, construction, and maintenance occupations","Arizona","297,558","±4,048","10.80%","±0.1",2010
"Production, transportation, and material moving occupations","Arizona","260,255","±3,714","9.50%","±0.1",2010
"Civilian employed population 16 years and over","Arkansas","1,254,140","±4,879","1,254,140","(X)",2010
"Management, business, science, and arts occupations","Arkansas","375,946","±4,451","30.00%","±0.3",2010
"Service occupations","Arkansas","206,913","±3,637","16.50%","±0.3",2010
"Sales and office occupations","Arkansas","310,743","±3,849","24.80%","±0.3",2010
"Natural resources, construction, and maintenance occupations","Arkansas","143,245","±2,897","11.40%","±0.2",2010
"Production, transportation, and material moving occupations","Arkansas","217,293","±3,125","17.30%","±0.2",2010
"Civilian employed population 16 years and over","California","16,632,466","±19,046","16,632,466","(X)",2010
"Management, business, science, and arts occupations","California","6,022,109","±26,967","36.20%","±0.1",2010
"Service occupations","California","2,897,320","±16,034","17.40%","±0.1",2010
"Sales and office occupations","California","4,221,411","±14,901","25.40%","±0.1",2010
"Natural resources, construction, and maintenance occupations","California","1,651,688","±11,003","9.90%","±0.1",2010
