"","Date","Year","Month","Animal","Weight","Type_Of_Meat"
"1","Dec-2023",2023,12,"Beef",457.41,"Red Meat"
"2","Nov-2023",2023,11,"Beef",445.67,"Red Meat"
"3","Oct-2023",2023,10,"Beef",420.85,"Red Meat"
"4","Sep-2023",2023,9,"Beef",395.4,"Red Meat"
"5","Aug-2023",2023,8,"Beef",410.46,"Red Meat"
"6","Jul-2023",2023,7,"Beef",410.74,"Red Meat"
"7","Jun-2023",2023,6,"Beef",425.66,"Red Meat"
"8","May-2023",2023,5,"Beef",452.08,"Red Meat"
"9","Apr-2023",2023,4,"Beef",477.81,"Red Meat"
"10","Mar-2023",2023,3,"Beef",500.78,"Red Meat"
"11","Feb-2023",2023,2,"Beef",534.03,"Red Meat"
"12","Jan-2023",2023,1,"Beef",543.96,"Red Meat"
"13","Dec-2022",2022,12,"Beef",523.25,"Red Meat"
"14","Nov-2022",2022,11,"Beef",510.25,"Red Meat"
"15","Oct-2022",2022,10,"Beef",526.14,"Red Meat"
"16","Sep-2022",2022,9,"Beef",513.79,"Red Meat"
"17","Aug-2022",2022,8,"Beef",511.85,"Red Meat"
"18","Jul-2022",2022,7,"Beef",516.79,"Red Meat"
"19","Jun-2022",2022,6,"Beef",526.12,"Red Meat"
"20","May-2022",2022,5,"Beef",532.17,"Red Meat"
"21","Apr-2022",2022,4,"Beef",535.84,"Red Meat"
"22","Mar-2022",2022,3,"Beef",531.57,"Red Meat"
"23","Feb-2022",2022,2,"Beef",525.72,"Red Meat"
"24","Jan-2022",2022,1,"Beef",507.12,"Red Meat"
"25","Dec-2021",2021,12,"Beef",490.41,"Red Meat"
"26","Nov-2021",2021,11,"Beef",473.76,"Red Meat"
"27","Oct-2021",2021,10,"Beef",439.62,"Red Meat"
"28","Sep-2021",2021,9,"Beef",414.9,"Red Meat"
"29","Aug-2021",2021,8,"Beef",400.84,"Red Meat"
"30","Jul-2021",2021,7,"Beef",401.52,"Red Meat"
"31","Jun-2021",2021,6,"Beef",416.68,"Red Meat"
"32","May-2021",2021,5,"Beef",448.85,"Red Meat"
"33","Apr-2021",2021,4,"Beef",482.99,"Red Meat"
"34","Mar-2021",2021,3,"Beef",512.53,"Red Meat"
"35","Feb-2021",2021,2,"Beef",519.35,"Red Meat"
"36","Jan-2021",2021,1,"Beef",535.9,"Red Meat"
"37","Dec-2020",2020,12,"Beef",511.42,"Red Meat"
"38","Nov-2020",2020,11,"Beef",500.22,"Red Meat"
"39","Oct-2020",2020,10,"Beef",463.02,"Red Meat"
"40","Sep-2020",2020,9,"Beef",449.34,"Red Meat"
"41","Aug-2020",2020,8,"Beef",440.18,"Red Meat"
"42","Jul-2020",2020,7,"Beef",429.3,"Red Meat"
"43","Jun-2020",2020,6,"Beef",417.36,"Red Meat"
"44","May-2020",2020,5,"Beef",479.46,"Red Meat"
