"","Date","Year","Month","Animal","Count","Commercial_Or_Federally_Inspected","Type_Of_Meat"
"1","Dec-2023","2023","12","Cattle",2593400,"Commercial","Red Meat"
"2","Nov-2023","2023","11","Cattle",2729900,"Commercial","Red Meat"
"3","Oct-2023","2023","10","Cattle",2826000,"Commercial","Red Meat"
"4","Sep-2023","2023","9","Cattle",2610600,"Commercial","Red Meat"
"5","Aug-2023","2023","8","Cattle",2890000,"Commercial","Red Meat"
"6","Jul-2023","2023","7","Cattle",2597800,"Commercial","Red Meat"
"7","Jun-2023","2023","6","Cattle",2894300,"Commercial","Red Meat"
"8","May-2023","2023","5","Cattle",2839700,"Commercial","Red Meat"
"9","Apr-2023","2023","4","Cattle",2543900,"Commercial","Red Meat"
"10","Mar-2023","2023","3","Cattle",2938700,"Commercial","Red Meat"
"11","Feb-2023","2023","2","Cattle",2548300,"Commercial","Red Meat"
"12","Jan-2023","2023","1","Cattle",2826800,"Commercial","Red Meat"
"13","Dec-2022","2022","12","Cattle",2684700,"Commercial","Red Meat"
"14","Nov-2022","2022","11","Cattle",2904900,"Commercial","Red Meat"
"15","Oct-2022","2022","10","Cattle",2902900,"Commercial","Red Meat"
"16","Sep-2022","2022","9","Cattle",2897800,"Commercial","Red Meat"
"17","Aug-2022","2022","8","Cattle",3076100,"Commercial","Red Meat"
"18","Jul-2022","2022","7","Cattle",2779600,"Commercial","Red Meat"
"19","Jun-2022","2022","6","Cattle",3044700,"Commercial","Red Meat"
"20","May-2022","2022","5","Cattle",2815600,"Commercial","Red Meat"
"21","Apr-2022","2022","4","Cattle",2813000,"Commercial","Red Meat"
"22","Mar-2022","2022","3","Cattle",3016100,"Commercial","Red Meat"
"23","Feb-2022","2022","2","Cattle",2686600,"Commercial","Red Meat"
"24","Jan-2022","2022","1","Cattle",2703300,"Commercial","Red Meat"
"25","Dec-2021","2021","12","Cattle",2824300,"Commercial","Red Meat"
"26","Nov-2021","2021","11","Cattle",2859500,"Commercial","Red Meat"
"27","Oct-2021","2021","10","Cattle",2850100,"Commercial","Red Meat"
"28","Sep-2021","2021","9","Cattle",2790100,"Commercial","Red Meat"
"29","Aug-2021","2021","8","Cattle",2886900,"Commercial","Red Meat"
"30","Jul-2021","2021","7","Cattle",2849700,"Commercial","Red Meat"
"31","Jun-2021","2021","6","Cattle",2955000,"Commercial","Red Meat"
"32","May-2021","2021","5","Cattle",2702900,"Commercial","Red Meat"
"33","Apr-2021","2021","4","Cattle",2852400,"Commercial","Red Meat"
"34","Mar-2021","2021","3","Cattle",3008000,"Commercial","Red Meat"
"35","Feb-2021","2021","2","Cattle",2525500,"Commercial","Red Meat"
