"","Date","Year","Month","Animal","Weight","Commercial_Or_Federally_Inspected","Live_Or_Dressed","Type_Of_Meat"
"1","Dec-2023",2023,12,"Cattle","1,401.00","Commercial","Live","Red Meat"
"2","Nov-2023",2023,11,"Cattle","1,387.00","Commercial","Live","Red Meat"
"3","Oct-2023",2023,10,"Cattle","1,374.00","Commercial","Live","Red Meat"
"4","Sep-2023",2023,9,"Cattle","1,362.00","Commercial","Live","Red Meat"
"5","Aug-2023",2023,8,"Cattle","1,350.00","Commercial","Live","Red Meat"
"6","Jul-2023",2023,7,"Cattle","1,344.00","Commercial","Live","Red Meat"
"7","Jun-2023",2023,6,"Cattle","1,338.00","Commercial","Live","Red Meat"
"8","May-2023",2023,5,"Cattle","1,349.00","Commercial","Live","Red Meat"
"9","Apr-2023",2023,4,"Cattle","1,354.00","Commercial","Live","Red Meat"
"10","Mar-2023",2023,3,"Cattle","1,366.00","Commercial","Live","Red Meat"
"11","Feb-2023",2023,2,"Cattle","1,374.00","Commercial","Live","Red Meat"
"12","Jan-2023",2023,1,"Cattle","1,380.00","Commercial","Live","Red Meat"
"13","Dec-2022",2022,12,"Cattle","1,384.00","Commercial","Live","Red Meat"
"14","Nov-2022",2022,11,"Cattle","1,384.00","Commercial","Live","Red Meat"
"15","Oct-2022",2022,10,"Cattle","1,375.00","Commercial","Live","Red Meat"
"16","Sep-2022",2022,9,"Cattle","1,364.00","Commercial","Live","Red Meat"
"17","Aug-2022",2022,8,"Cattle","1,348.00","Commercial","Live","Red Meat"
"18","Jul-2022",2022,7,"Cattle","1,341.00","Commercial","Live","Red Meat"
"19","Jun-2022",2022,6,"Cattle","1,339.00","Commercial","Live","Red Meat"
"20","May-2022",2022,5,"Cattle","1,351.00","Commercial","Live","Red Meat"
"21","Apr-2022",2022,4,"Cattle","1,373.00","Commercial","Live","Red Meat"
"22","Mar-2022",2022,3,"Cattle","1,384.00","Commercial","Live","Red Meat"
"23","Feb-2022",2022,2,"Cattle","1,395.00","Commercial","Live","Red Meat"
"24","Jan-2022",2022,1,"Cattle","1,398.00","Commercial","Live","Red Meat"
"25","Dec-2021",2021,12,"Cattle","1,392.00","Commercial","Live","Red Meat"
"26","Nov-2021",2021,11,"Cattle","1,382.00","Commercial","Live","Red Meat"
"27","Oct-2021",2021,10,"Cattle","1,376.00","Commercial","Live","Red Meat"
"28","Sep-2021",2021,9,"Cattle","1,365.00","Commercial","Live","Red Meat"
"29","Aug-2021",2021,8,"Cattle","1,354.00","Commercial","Live","Red Meat"
"30","Jul-2021",2021,7,"Cattle","1,349.00","Commercial","Live","Red Meat"
"31","Jun-2021",2021,6,"Cattle","1,346.00","Commercial","Live","Red Meat"
"32","May-2021",2021,5,"Cattle","1,360.00","Commercial","Live","Red Meat"
"33","Apr-2021",2021,4,"Cattle","1,366.00","Commercial","Live","Red Meat"
"34","Mar-2021",2021,3,"Cattle","1,372.00","Commercial","Live","Red Meat"
"35","Feb-2021",2021,2,"Cattle","1,390.00","Commercial","Live","Red Meat"
"36","Jan-2021",2021,1,"Cattle","1,399.00","Commercial","Live","Red Meat"
"37","Dec-2020",2020,12,"Cattle","1,389.00","Commercial","Live","Red Meat"
"38","Nov-2020",2020,11,"Cattle","1,387.00","Commercial","Live","Red Meat"
"39","Oct-2020",2020,10,"Cattle","1,385.00","Commercial","Live","Red Meat"
"40","Sep-2020",2020,9,"Cattle","1,379.00","Commercial","Live","Red Meat"
"41","Aug-2020",2020,8,"Cattle","1,365.00","Commercial","Live","Red Meat"
"42","Jul-2020",2020,7,"Cattle","1,363.00","Commercial","Live","Red Meat"
"43","Jun-2020",2020,6,"Cattle","1,365.00","Commercial","Live","Red Meat"
"44","May-2020",2020,5,"Cattle","1,367.00","Commercial","Live","Red Meat"
"45","Apr-2020",2020,4,"Cattle","1,353.00","Commercial","Live","Red Meat"
"46","Mar-2020",2020,3,"Cattle","1,368.00","Commercial","Live","Red Meat"
"47","Feb-2020",2020,2,"Cattle","1,376.00","Commercial","Live","Red Meat"
"48","Jan-2020",2020,1,"Cattle","1,375.00","Commercial","Live","Red Meat"
"49","Dec-2019",2019,12,"Cattle","1,373.00","Commercial","Live","Red Meat"
"50","Nov-2019",2019,11,"Cattle","1,375.00","Commercial","Live","Red Meat"
"51","Oct-2019",2019,10,"Cattle","1,360.00","Commercial","Live","Red Meat"
"52","Sep-2019",2019,9,"Cattle","1,352.00","Commercial","Live","Red Meat"
"53","Aug-2019",2019,8,"Cattle","1,338.00","Commercial","Live","Red Meat"
"54","Jul-2019",2019,7,"Cattle","1,326.00","Commercial","Live","Red Meat"
"55","Jun-2019",2019,6,"Cattle","1,313.00","Commercial","Live","Red Meat"
"56","May-2019",2019,5,"Cattle","1,316.00","Commercial","Live","Red Meat"
"57","Apr-2019",2019,4,"Cattle","1,329.00","Commercial","Live","Red Meat"
"58","Mar-2019",2019,3,"Cattle","1,339.00","Commercial","Live","Red Meat"
"59","Feb-2019",2019,2,"Cattle","1,351.00","Commercial","Live","Red Meat"
"60","Jan-2019",2019,1,"Cattle","1,363.00","Commercial","Live","Red Meat"
"61","Dec-2018",2018,12,"Cattle","1,368.00","Commercial","Live","Red Meat"
"62","Nov-2018",2018,11,"Cattle","1,370.00","Commercial","Live","Red Meat"
"63","Oct-2018",2018,10,"Cattle","1,363.00","Commercial","Live","Red Meat"
"64","Sep-2018",2018,9,"Cattle","1,359.00","Commercial","Live","Red Meat"
"65","Aug-2018",2018,8,"Cattle","1,344.00","Commercial","Live","Red Meat"
"66","Jul-2018",2018,7,"Cattle","1,330.00","Commercial","Live","Red Meat"
"67","Jun-2018",2018,6,"Cattle","1,321.00","Commercial","Live","Red Meat"
"68","May-2018",2018,5,"Cattle","1,316.00","Commercial","Live","Red Meat"
"69","Apr-2018",2018,4,"Cattle","1,334.00","Commercial","Live","Red Meat"
"70","Mar-2018",2018,3,"Cattle","1,358.00","Commercial","Live","Red Meat"
"71","Feb-2018",2018,2,"Cattle","1,368.00","Commercial","Live","Red Meat"
