"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Grade","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2019,"AK",9.6,5.5,16.5,130,"","","Asian","(64.845079957001, -147.722059036)",2,"RACE","RACEASN"
2019,"TX",22.9,20.7,25.2,1907,"","","","(31.827240407, -99.426770206)",48,"OVR","OVERALL"
2017,"CT",22.3,20.3,24.5,2240,"","","","(41.56266102, -72.649840952)",9,"OVR","OVERALL"
2009,"VT",25.4,20.6,30.9,351,"","","Asian","(43.625381239, -72.517640791)",50,"RACE","RACEASN"
2017,"TN",27.6,22.2,33.8,486,"","10th","","(35.68094058, -85.774490914)",47,"GRADE","GRADE10"
2009,"KY",19.8,16.7,23.3,602,"","10th","","(37.645970271, -84.774971048)",21,"GRADE","GRADE10"
2015,"RI",20.1,15.5,25.7,315,"","","Non-Hispanic Black","(41.708280193, -71.522470314)",44,"RACE","RACEBLK"
2013,"ID",27.9,25.3,30.6,1869,"","","","(43.682630005, -114.363730042)",16,"OVR","OVERALL"
2009,"GA",23.7,21,26.6,1827,"","","","(32.839681093, -83.627580346)",13,"OVR","OVERALL"
2013,"WV",NA,NA,NA,NA,"","","Non-Hispanic Black","(38.665510202, -80.712640135)",54,"RACE","RACEBLK"
2019,"FL",30.8,28.7,33.1,2557,"Male","","","(28.932040377, -81.928960539)",12,"GEN","MALE"
2015,"VT",28.5,24,33.4,355,"","","American Indian/Alaska Native","(43.625381239, -72.517640791)",50,"RACE","RACENAA"
2019,"IA",18.2,11.9,26.8,764,"Female","","","(42.469400913, -93.816490556)",19,"GEN","FEMALE"
2019,"NH",14.6,10.8,19.4,426,"","","Asian","(43.655950113, -71.50036092)",33,"RACE","RACEASN"
2007,"WV",26.2,22.8,29.8,1171,"","","Non-Hispanic White","(38.665510202, -80.712640135)",54,"RACE","RACEWHT"
2007,"NH",NA,NA,NA,NA,"","","Hawaiian/Pacific Islander","(43.655950113, -71.50036092)",33,"RACE","RACEHPI"
2019,"OK",NA,NA,NA,NA,"","","Asian","(35.472031356, -97.521070214)",40,"RACE","RACEASN"
2019,"CA",24.9,18.9,32.1,648,"Male","","","(37.638640123, -120.999999538)",6,"GEN","MALE"
2009,"TX",30.6,25.3,36.5,428,"","","Non-Hispanic Black","(31.827240407, -99.426770206)",48,"RACE","RACEBLK"
2019,"NY",17,14.4,19.9,1861,"","","Non-Hispanic Black","(42.827001032, -75.543970427)",36,"RACE","RACEBLK"
2019,"MD",23.7,22.8,24.8,2089,"","","Non-Hispanic White","(39.290580964, -76.609260111)",24,"RACE","RACEWHT"
2019,"RI",21.1,17.4,25.4,1575,"","","","(41.708280193, -71.522470314)",44,"OVR","OVERALL"
2019,"PR",NA,NA,NA,NA,"","","2 or more races","(18.220833, -66.590149)",72,"RACE","RACE2PLUS"
2019,"MO",23.3,19.5,27.5,309,"","10th","","(38.635790776, -92.566300053)",29,"GRADE","GRADE10"
2013,"KY",22.6,18.6,27.1,427,"","9th","","(37.645970271, -84.774971048)",21,"GRADE","GRADE09"
2019,"PR",NA,NA,NA,NA,"","","Non-Hispanic Black","(18.220833, -66.590149)",72,"RACE","RACEBLK"
2013,"NJ",30.7,25.2,36.9,403,"","9th","","(40.130570048, -74.273691288)",34,"GRADE","GRADE09"
2019,"WI",22.6,17.9,28.1,396,"","10th","","(44.393191174, -89.816370742)",55,"GRADE","GRADE10"
2019,"SD",NA,NA,NA,NA,"","","Non-Hispanic Black","(44.353130053, -100.373530637)",46,"RACE","RACEBLK"
2015,"WV",33,29,37.2,770,"Male","","","(38.665510202, -80.712640135)",54,"GEN","MALE"
2015,"CT",25.2,21.1,29.7,671,"","10th","","(41.56266102, -72.649840952)",9,"GRADE","GRADE10"
2019,"GU",19.4,15.9,23.6,581,"","","Hawaiian/Pacific Islander","(13.444304, 144.793731)",66,"RACE","RACEHPI"
2007,"MO",38,32.8,43.4,745,"Male","","","(38.635790776, -92.566300053)",29,"GEN","MALE"
2017,"FL",22.5,20.3,24.9,1646,"","10th","","(28.932040377, -81.928960539)",12,"GRADE","GRADE10"
2019,"MT",22,19,25.3,927,"","11th","","(47.066528972, -109.424420645)",30,"GRADE","GRADE11"
2009,"SC",17.1,14.7,19.9,1064,"","","","(33.998821303, -81.045371207)",45,"OVR","OVERALL"
2019,"IL",15.8,12.3,20,1166,"","","Hispanic","(40.485010283, -88.997710178)",17,"RACE","RACEHIS"
2017,"CT",NA,NA,NA,NA,"","","Hawaiian/Pacific Islander","(41.56266102, -72.649840952)",9,"RACE","RACEHPI"
2019,"OH",20.5,14.9,27.7,255,"","","Non-Hispanic Black","(40.060210141, -82.404260056)",39,"RACE","RACEBLK"
2009,"AK",17.2,10.8,26.2,209,"","","American Indian/Alaska Native","(64.845079957001, -147.722059036)",2,"RACE","RACENAA"
2009,"TX",NA,NA,NA,NA,"","","American Indian/Alaska Native","(31.827240407, -99.426770206)",48,"RACE","RACENAA"
