"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age.years.","Education","Gender","Income","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2017,"WA",36.1,31.5,41,766,"","","","Less than $15,000","","(47.522278629, -120.47001079)",53,"INC","INCLESS15"
2017,"MA",29.9,24.7,35.6,452,"","","","","Hispanic","(42.27687047, -72.082690675)",25,"RACE","RACEHIS"
2017,"KY",NA,NA,NA,NA,"","","","","Asian","(37.645970271, -84.774971048)",21,"RACE","RACEASN"
2017,"VT",NA,NA,NA,NA,"","","","","Asian","(43.625381239, -72.517640791)",50,"RACE","RACEASN"
2017,"NM",41.2,38.5,43.8,2613,"","","Male","","","(34.520880952, -106.240580985)",35,"GEN","MALE"
2017,"MO",45.9,40,51.9,609,"","","","Less than $15,000","","(38.635790776, -92.566300053)",29,"INC","INCLESS15"
2017,"IA",39.6,35.7,43.8,868,"","","","$15,000 - $24,999","","(42.469400913, -93.816490556)",19,"INC","INC1525"
2017,"GU",45.8,41,50.7,666,"","","Male","","","(13.444304, 144.793731)",66,"GEN","MALE"
2017,"WA",35.9,34.3,37.5,5540,"","","Male","","","(47.522278629, -120.47001079)",53,"GEN","MALE"
2017,"NM",NA,NA,NA,NA,"","","","","Other","(34.520880952, -106.240580985)",35,"RACE","RACEOTH"
2017,"ME",36.5,34.1,38.9,3869,"","","Male","","","(45.254228894001, -68.985031336)",23,"GEN","MALE"
2017,"NY",40.5,36.3,44.7,1044,"","","","Less than $15,000","","(42.827001032, -75.543970427)",36,"INC","INCLESS15"
2017,"LA",41,34.5,47.8,359,"","","","$25,000 - $34,999","","(31.312660644, -92.445680071)",22,"INC","INC2535"
2017,"RI",48.5,31.5,65.7,75,"","","","","Asian","(41.708280193, -71.522470314)",44,"RACE","RACEASN"
2017,"IL",33.3,31.6,35,5196,"","","","","","(40.485010283, -88.997710178)",17,"OVR","OVERALL"
2017,"NY",42.4,38.2,46.6,918,"","Less than high school","","","","(42.827001032, -75.543970427)",36,"EDU","EDUHS"
2017,"AZ",NA,NA,NA,NA,"","","","","Hawaiian/Pacific Islander","(34.86597028, -111.763811277)",4,"RACE","RACEHPI"
2017,"NH",NA,NA,NA,NA,"","","","","Hawaiian/Pacific Islander","(43.655950113, -71.50036092)",33,"RACE","RACEHPI"
2017,"ND",31.9,27.9,36.2,944,"","","","$35,000 - $49,999","","(47.475319779, -100.118421049)",38,"INC","INC3550"
2017,"NH",28.5,25.4,31.9,1736,"","","","$75,000 or greater","","(43.655950113, -71.50036092)",33,"INC","INC75PLUS"
2017,"AR",45.2,40.7,49.8,1016,"55 - 64","","","","","(34.748650124, -92.274490743)",5,"AGEYR","AGEYR5564"
2017,"MS",46.9,42.6,51.2,1290,"","","","","Non-Hispanic Black","(32.745510099, -89.538030825)",28,"RACE","RACEBLK"
2017,"CA",36.3,33.1,39.5,1477,"","High school graduate","","","","(37.638640123, -120.999999538)",6,"EDU","EDUHSGRAD"
2017,"NJ",30.2,27.7,32.8,3930,"65 or older","","","","","(40.130570048, -74.273691288)",34,"AGEYR","AGEYR65PLUS"
2017,"VA",35.8,25.2,48,149,"","","","","2 or more races","(37.542680674, -78.457890463)",51,"RACE","RACE2PLUS"
2017,"PR",NA,NA,NA,NA,"","","","","Hawaiian/Pacific Islander","(18.220833, -66.590149)",72,"RACE","RACEHPI"
2017,"MD",33.5,29.9,37.3,1171,"35 - 44","","","","","(39.290580964, -76.609260111)",24,"AGEYR","AGEYR3544"
2017,"CO",36.1,32.9,39.4,1015,"25 - 34","","","","","(38.843840757, -106.133610921)",8,"AGEYR","AGEYR2534"
2017,"AL",46.2,40.2,52.4,518,"","","","$25,000 - $34,999","","(32.840571122, -86.631860762)",1,"INC","INC2535"
2017,"CA",34.9,27.3,43.4,225,"","","","","2 or more races","(37.638640123, -120.999999538)",6,"RACE","RACE2PLUS"
2017,"MD",25.9,15.8,39.5,106,"","","","","Other","(39.290580964, -76.609260111)",24,"RACE","RACEOTH"
2017,"AR",48.2,44.1,52.3,1694,"","","Male","","","(34.748650124, -92.274490743)",5,"GEN","MALE"
2017,"CA",29.1,27.2,31.1,4278,"","","Female","","","(37.638640123, -120.999999538)",6,"GEN","FEMALE"
2017,"CA",39,32.5,45.9,356,"","","","","Non-Hispanic Black","(37.638640123, -120.999999538)",6,"RACE","RACEBLK"
2017,"WI",30.5,25.1,36.5,531,"","","","Data not reported","","(44.393191174, -89.816370742)",55,"INC","INCNR"
2017,"VI",NA,NA,NA,NA,"18 - 24","","","","","(18.335765, -64.896335)",78,"AGEYR","AGEYR1824"
2017,"OH",NA,NA,NA,NA,"","","","","Hawaiian/Pacific Islander","(40.060210141, -82.404260056)",39,"RACE","RACEHPI"
2017,"AL",NA,NA,NA,NA,"","","","","Asian","(32.840571122, -86.631860762)",1,"RACE","RACEASN"
2017,"AZ",36.7,33.8,39.7,1745,"","","","$35,000 - $49,999","","(34.86597028, -111.763811277)",4,"INC","INC3550"
2017,"CT",36.6,31,42.5,628,"","","","$25,000 - $34,999","","(41.56266102, -72.649840952)",9,"INC","INC2535"
2017,"TX",43.9,28.8,60.3,148,"","","","","2 or more races","(31.827240407, -99.426770206)",48,"RACE","RACE2PLUS"
2017,"NY",37.2,33.8,40.7,1590,"","","","$15,000 - $24,999","","(42.827001032, -75.543970427)",36,"INC","INC1525"
2017,"AK",36.9,34,39.9,2959,"","","","","","(64.845079957001, -147.722059036)",2,"OVR","OVERALL"
2017,"CT",34.1,32.1,36.1,4118,"","","Male","","","(41.56266102, -72.649840952)",9,"GEN","MALE"
2017,"US",36.1,35.8,36.5,311177,"","","","","Non-Hispanic White","",59,"RACE","RACEWHT"
2017,"VA",36.8,32.9,40.8,903,"25 - 34","","","","","(37.542680674, -78.457890463)",51,"AGEYR","AGEYR2534"
2017,"NM",38.9,35.5,42.4,1636,"","High school graduate","","","","(34.520880952, -106.240580985)",35,"EDU","EDUHSGRAD"
2017,"MI",NA,NA,NA,NA,"","","","","Other","(44.661319543001, -84.71439027)",26,"RACE","RACEOTH"
2017,"MI",34.5,21.5,50.4,72,"","","","","American Indian/Alaska Native","(44.661319543001, -84.71439027)",26,"RACE","RACENAA"
2017,"VT",23.7,21.1,26.6,1711,"","","","$75,000 or greater","","(43.625381239, -72.517640791)",50,"INC","INC75PLUS"
2017,"UT",31,20.9,43.4,93,"","","","","2 or more races","(39.360700171, -111.587130635)",49,"RACE","RACE2PLUS"
