"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Grade","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2019,"KS",43.1,37,49.5,258,"","11th","","(38.3477403, -98.200781227)",20,"GRADE","GRADE11"
2019,"OK",58.9,53.9,63.8,931,"","","Non-Hispanic White","(35.472031356, -97.521070214)",40,"RACE","RACEWHT"
2001,"US",36.7,34.5,39,3260,"","","Hispanic","",59,"RACE","RACEHIS"
2017,"FL",40.2,38.7,41.6,5965,"","","","(28.932040377, -81.928960539)",12,"OVR","OVERALL"
2011,"VA",40,34.7,45.4,784,"","","Non-Hispanic White","(37.542680674, -78.457890463)",51,"RACE","RACEWHT"
2011,"WY",31.3,22.7,41.5,103,"","","2 or more races","(43.235541343, -108.109830353)",56,"RACE","RACE2PLUS"
2007,"TN",46.7,43.6,49.8,2053,"","","","(35.68094058, -85.774490914)",47,"OVR","OVERALL"
2009,"GA",41,35.7,46.6,462,"","12th","","(32.839681093, -83.627580346)",13,"GRADE","GRADE12"
2017,"VA",41,34,48.3,266,"","","2 or more races","(37.542680674, -78.457890463)",51,"RACE","RACE2PLUS"
2011,"US",34,31,37.2,3508,"","10th","","",59,"GRADE","GRADE10"
2015,"WY",38.4,34.9,41.9,1168,"Male","","","(43.235541343, -108.109830353)",56,"GEN","MALE"
2013,"NC",44.4,40.6,48.3,927,"Female","","","(35.466220975, -79.159250463)",37,"GEN","FEMALE"
2005,"ID",38.9,30.4,48.2,148,"","","Hispanic","(43.682630005, -114.363730042)",16,"RACE","RACEHIS"
2001,"MT",NA,NA,NA,NA,"","","Asian","(47.066528972, -109.424420645)",30,"RACE","RACEASN"
2011,"AL",41.6,35.8,47.6,643,"Male","","","(32.840571122, -86.631860762)",1,"GEN","MALE"
2013,"UT",33,29.7,36.5,2171,"","","","(39.360700171, -111.587130635)",49,"OVR","OVERALL"
2005,"CO",36.5,29.8,43.7,1487,"","","","(38.843840757, -106.133610921)",8,"OVR","OVERALL"
2017,"CA",31.5,23.5,40.7,388,"","12th","","(37.638640123, -120.999999538)",6,"GRADE","GRADE12"
2015,"MI",28,15.8,44.6,170,"","","Asian","(44.661319543001, -84.71439027)",26,"RACE","RACEASN"
2011,"IN",43.2,38.8,47.8,1327,"Male","","","(39.766910452, -86.149960194)",18,"GEN","MALE"
2009,"HI",42.3,37.2,47.5,475,"","","Asian","(21.304850435, -157.857749403)",15,"RACE","RACEASN"
2013,"SC",45.6,40.1,51.3,431,"","10th","","(33.998821303, -81.045371207)",45,"GRADE","GRADE10"
2015,"DE",36.6,30.2,43.5,411,"","","Hispanic","(39.008830667, -75.577741168)",10,"RACE","RACEHIS"
2013,"OK",50.4,45.4,55.4,812,"","","Non-Hispanic White","(35.472031356, -97.521070214)",40,"RACE","RACEWHT"
2019,"ME",38.4,35.4,41.5,2095,"","9th","","(45.254228894001, -68.985031336)",23,"GRADE","GRADE09"
2005,"MI",40.1,37.3,42.9,1707,"Female","","","(44.661319543001, -84.71439027)",26,"GEN","FEMALE"
2019,"NC",40.4,32.6,48.7,186,"","","2 or more races","(35.466220975, -79.159250463)",37,"RACE","RACE2PLUS"
2019,"NH",NA,NA,NA,NA,"","","Asian","(43.655950113, -71.50036092)",33,"RACE","RACEASN"
2019,"GA",46.7,44.3,49.1,2175,"Male","","","(32.839681093, -83.627580346)",13,"GEN","MALE"
2019,"FL",42.8,40.8,44.7,2270,"","","Hispanic","(28.932040377, -81.928960539)",12,"RACE","RACEHIS"
2011,"US",35.8,33.5,38.2,6030,"","","Non-Hispanic White","",59,"RACE","RACEWHT"
