"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Grade","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2019,"IL",65.9,49.8,79.1,876,"","10th","","(40.485010283, -88.997710178)",17,"GRADE","GRADE10"
2019,"NY",17.4,14,21.5,8985,"","","","(42.827001032, -75.543970427)",36,"OVR","OVERALL"
2005,"KS",23.7,17.9,30.8,449,"","11th","","(38.3477403, -98.200781227)",20,"GRADE","GRADE11"
2005,"AL",27.4,19.1,37.7,177,"","12th","","(32.840571122, -86.631860762)",1,"GRADE","GRADE12"
2007,"IL",47.3,35.8,59.1,2325,"","","","(40.485010283, -88.997710178)",17,"OVR","OVERALL"
2011,"AR",28,23.1,33.4,647,"Male","","","(34.748650124, -92.274490743)",5,"GEN","MALE"
2001,"NJ",66.5,50.5,79.4,1953,"","","","(40.130570048, -74.273691288)",34,"OVR","OVERALL"
2005,"TN",25,19.6,31.2,649,"Female","","","(35.68094058, -85.774490914)",47,"GEN","FEMALE"
2007,"US",27.3,22.1,33.2,6874,"Female","","","",59,"GEN","FEMALE"
2007,"AK",12.4,10.2,15.1,643,"Female","","","(64.845079957001, -147.722059036)",2,"GEN","FEMALE"
2003,"AZ",27.1,20.9,34.4,1566,"Male","","","(34.86597028, -111.763811277)",4,"GEN","MALE"
2013,"KY",8.8,5.1,14.6,375,"","11th","","(37.645970271, -84.774971048)",21,"GRADE","GRADE11"
2007,"WY",19,14.4,24.5,1071,"Female","","","(43.235541343, -108.109830353)",56,"GEN","FEMALE"
2007,"US",23.8,17.8,30.9,3438,"","12th","","",59,"GRADE","GRADE12"
2013,"OK",30.7,22.7,40.1,324,"","11th","","(35.472031356, -97.521070214)",40,"GRADE","GRADE11"
2007,"AR",21.8,15.9,29.2,365,"","11th","","(34.748650124, -92.274490743)",5,"GRADE","GRADE11"
2005,"MA",17.9,12.3,25.3,3302,"","","","(42.27687047, -72.082690675)",25,"OVR","OVERALL"
2017,"TX",30.1,21.4,40.5,470,"","11th","","(31.827240407, -99.426770206)",48,"GRADE","GRADE11"
2005,"ME",NA,NA,NA,NA,"","","Hispanic","(45.254228894001, -68.985031336)",23,"RACE","RACEHIS"
2011,"IN",19.2,12.7,28,2138,"","","Non-Hispanic White","(39.766910452, -86.149960194)",18,"RACE","RACEWHT"
2009,"US",27.6,22.4,33.5,3910,"","11th","","",59,"GRADE","GRADE11"
2003,"IN",20.8,13.8,30.1,1177,"","","Non-Hispanic White","(39.766910452, -86.149960194)",18,"RACE","RACEWHT"
2005,"AR",27.6,22.9,32.8,646,"Male","","","(34.748650124, -92.274490743)",5,"GEN","MALE"
2005,"FL",23.6,18.4,29.8,1199,"","10th","","(28.932040377, -81.928960539)",12,"GRADE","GRADE10"
2005,"KY",11.8,7.8,17.4,601,"","10th","","(37.645970271, -84.774971048)",21,"GRADE","GRADE10"
2005,"KS",41.5,26.4,58.4,439,"","9th","","(38.3477403, -98.200781227)",20,"GRADE","GRADE09"
2011,"NM",27.3,18.6,38.1,141,"","","2 or more races","(34.520880952, -106.240580985)",35,"RACE","RACE2PLUS"
2011,"OK",27.5,23.7,31.7,633,"","","Non-Hispanic White","(35.472031356, -97.521070214)",40,"RACE","RACEWHT"
2003,"FL",35,29,41.5,1063,"","9th","","(28.932040377, -81.928960539)",12,"GRADE","GRADE09"
2011,"NJ",57.2,41.6,71.6,346,"","12th","","(40.130570048, -74.273691288)",34,"GRADE","GRADE12"
2019,"ID",NA,NA,NA,NA,"","","2 or more races","(43.682630005, -114.363730042)",16,"RACE","RACE2PLUS"
2015,"NV",29.1,21.9,37.5,1406,"","","","(39.49324039, -117.071840564)",32,"OVR","OVERALL"
2001,"MA",23.7,14.3,36.6,382,"","","Hispanic","(42.27687047, -72.082690675)",25,"RACE","RACEHIS"
2019,"OK",30.2,20.5,42,175,"","","American Indian/Alaska Native","(35.472031356, -97.521070214)",40,"RACE","RACENAA"
2019,"HI",4.9,2.2,10.7,416,"","","Non-Hispanic White","(21.304850435, -157.857749403)",15,"RACE","RACEWHT"
2019,"MD",17.2,12.8,22.6,381,"","","American Indian/Alaska Native","(39.290580964, -76.609260111)",24,"RACE","RACENAA"
2019,"AK",19.6,13.6,27.5,233,"","","2 or more races","(64.845079957001, -147.722059036)",2,"RACE","RACE2PLUS"
2019,"TN",18.9,12.5,27.4,360,"","","Non-Hispanic Black","(35.68094058, -85.774490914)",47,"RACE","RACEBLK"
2017,"FL",17.1,14.8,19.8,1460,"","11th","","(28.932040377, -81.928960539)",12,"GRADE","GRADE11"
2009,"MT",NA,NA,NA,NA,"","","Asian","(47.066528972, -109.424420645)",30,"RACE","RACEASN"
