"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Grade","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2019,"NC",19.8,14.9,25.8,698,"","10th","","(35.466220975, -79.159250463)",37,"GRADE","GRADE10"
2019,"UT",11,8.5,14,262,"","11th","","(39.360700171, -111.587130635)",49,"GRADE","GRADE11"
2019,"VA",19.4,16.8,22.3,995,"","12th","","(37.542680674, -78.457890463)",51,"GRADE","GRADE12"
2019,"GU",17.3,11.8,24.7,231,"","11th","","(13.444304, 144.793731)",66,"GRADE","GRADE11"
2017,"GU",19,14.6,24.4,318,"","9th","","(13.444304, 144.793731)",66,"GRADE","GRADE09"
2015,"KY",28.5,23.6,34,814,"","9th","","(37.645970271, -84.774971048)",21,"GRADE","GRADE09"
2017,"DE",18.3,13.9,23.7,232,"","12th","","(39.008830667, -75.577741168)",10,"GRADE","GRADE12"
2009,"MD",23.3,19.7,27.5,401,"","11th","","(39.290580964, -76.609260111)",24,"GRADE","GRADE11"
2017,"NC",18.1,15.8,20.6,1599,"Female","","","(35.466220975, -79.159250463)",37,"GEN","FEMALE"
2007,"US",18.5,13.3,25.2,425,"","","Asian","",59,"RACE","RACEASN"
2015,"WV",26.4,22.9,30.2,800,"Female","","","(38.665510202, -80.712640135)",54,"GEN","FEMALE"
2009,"US",30.5,28.4,32.7,4097,"","9th","","",59,"GRADE","GRADE09"
2011,"US",26.6,23.8,29.6,3821,"","11th","","",59,"GRADE","GRADE11"
2015,"GU",14.8,9.7,21.9,304,"","11th","","(13.444304, 144.793731)",66,"GRADE","GRADE11"
2015,"US",24.3,22,26.9,7547,"Male","","","",59,"GEN","MALE"
2015,"CT",13.4,10.5,17,498,"","","Hispanic","(41.56266102, -72.649840952)",9,"RACE","RACEHIS"
2009,"NY",36.6,17.2,61.6,166,"","","American Indian/Alaska Native","(42.827001032, -75.543970427)",36,"RACE","RACENAA"
