"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Grade","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2013,"SD",24.1,21.3,27.2,479,"","9th","","(44.353130053, -100.373530637)",46,"GRADE","GRADE09"
2005,"US",40.1,37.4,42.9,3401,"","10th","","",59,"GRADE","GRADE10"
2005,"US",29.2,24.8,33.9,363,"","","Asian","",59,"RACE","RACEASN"
2011,"US",30.4,28.1,32.9,3627,"","12th","","",59,"GRADE","GRADE12"
2007,"US",32.5,29.4,35.7,3443,"","11th","","",59,"GRADE","GRADE11"
2007,"ID",22,18.9,25.3,1399,"","","","(43.682630005, -114.363730042)",16,"OVR","OVERALL"
2001,"US",45.3,40.7,49.9,3266,"","9th","","",59,"GRADE","GRADE09"
2003,"AZ",34.1,28.6,40.1,553,"","12th","","(34.86597028, -111.763811277)",4,"GRADE","GRADE12"
2005,"UT",20.6,17,24.6,728,"Male","","","(39.360700171, -111.587130635)",49,"GEN","MALE"
2007,"LA",45.4,35.8,55.3,312,"","9th","","(31.312660644, -92.445680071)",22,"GRADE","GRADE09"
2003,"GA",42.4,38.5,46.4,2033,"","","","(32.839681093, -83.627580346)",13,"OVR","OVERALL"
2011,"NM",28.3,25.7,31.1,2853,"Female","","","(34.520880952, -106.240580985)",35,"GEN","FEMALE"
2001,"NJ",54,46.4,61.4,346,"","","Hispanic","(40.130570048, -74.273691288)",34,"RACE","RACEHIS"
2017,"PA",20,18,22.2,917,"","10th","","(40.793730152, -77.860700294)",42,"GRADE","GRADE10"
2017,"UT",16.6,12,22.4,519,"","11th","","(39.360700171, -111.587130635)",49,"GRADE","GRADE11"
2007,"NV",NA,NA,NA,NA,"","","American Indian/Alaska Native","(39.49324039, -117.071840564)",32,"RACE","RACENAA"
2013,"AR",31.5,27.5,35.8,322,"","12th","","(34.748650124, -92.274490743)",5,"GRADE","GRADE12"
2005,"MD",65.2,59.1,70.7,601,"","","Non-Hispanic Black","(39.290580964, -76.609260111)",24,"RACE","RACEBLK"
2005,"SC",37.6,29.9,46,305,"","11th","","(33.998821303, -81.045371207)",45,"GRADE","GRADE11"
2015,"GU",17.2,12.4,23.5,199,"","12th","","(13.444304, 144.793731)",66,"GRADE","GRADE12"
2011,"ID",24,19.2,29.5,421,"","10th","","(43.682630005, -114.363730042)",16,"GRADE","GRADE10"
2007,"FL",39.3,35.6,43.1,1203,"","10th","","(28.932040377, -81.928960539)",12,"GRADE","GRADE10"
2013,"NE",22.8,20.2,25.5,1793,"","","","(41.641040988001, -99.365720623)",31,"OVR","OVERALL"
2001,"TX",48,42.3,53.7,1821,"","9th","","(31.827240407, -99.426770206)",48,"GRADE","GRADE09"
2007,"OH",29.4,24.8,34.5,632,"","10th","","(40.060210141, -82.404260056)",39,"GRADE","GRADE10"
2017,"KS",14.5,12.7,16.6,2388,"","","","(38.3477403, -98.200781227)",20,"OVR","OVERALL"
2013,"FL",NA,NA,NA,NA,"","","Hawaiian/Pacific Islander","(28.932040377, -81.928960539)",12,"RACE","RACEHPI"
2011,"KS",23.3,21.6,25.2,1121,"","","Non-Hispanic White","(38.3477403, -98.200781227)",20,"RACE","RACEWHT"
2009,"NM",NA,NA,NA,NA,"","","Non-Hispanic Black","(34.520880952, -106.240580985)",35,"RACE","RACEBLK"
2019,"LA",NA,NA,NA,NA,"","","American Indian/Alaska Native","(31.312660644, -92.445680071)",22,"RACE","RACENAA"
2019,"ME",26.3,21.9,31.2,406,"","","Hispanic","(45.254228894001, -68.985031336)",23,"RACE","RACEHIS"
2015,"KY",32.7,22.7,44.6,128,"","","Hispanic","(37.645970271, -84.774971048)",21,"RACE","RACEHIS"
2019,"KS",16.3,13.2,20,1388,"","","","(38.3477403, -98.200781227)",20,"OVR","OVERALL"
2005,"MD",41.2,33.4,49.5,561,"Male","","","(39.290580964, -76.609260111)",24,"GEN","MALE"
2019,"NY",16.8,14.4,19.6,2166,"","10th","","(42.827001032, -75.543970427)",36,"GRADE","GRADE10"
2013,"ID",19.6,17.4,22.1,1865,"","","","(43.682630005, -114.363730042)",16,"OVR","OVERALL"
2009,"ME",25.2,24.1,26.3,6757,"","","Non-Hispanic White","(45.254228894001, -68.985031336)",23,"RACE","RACEWHT"
2001,"DE",40.7,38.2,43.2,2874,"","","","(39.008830667, -75.577741168)",10,"OVR","OVERALL"
2013,"UT",NA,NA,NA,NA,"","","American Indian/Alaska Native","(39.360700171, -111.587130635)",49,"RACE","RACENAA"
2017,"ME",24.8,20.3,29.9,352,"","","2 or more races","(45.254228894001, -68.985031336)",23,"RACE","RACE2PLUS"
2017,"KS",NA,NA,NA,NA,"","","Asian","(38.3477403, -98.200781227)",20,"RACE","RACEASN"
2019,"WV",NA,NA,NA,NA,"","","Hispanic","(38.665510202, -80.712640135)",54,"RACE","RACEHIS"
2019,"NM",17.2,10.8,26.4,188,"","","2 or more races","(34.520880952, -106.240580985)",35,"RACE","RACE2PLUS"
2013,"CT",25.1,22.4,28,1150,"Male","","","(41.56266102, -72.649840952)",9,"GEN","MALE"
2013,"IL",NA,NA,NA,NA,"","","American Indian/Alaska Native","(40.485010283, -88.997710178)",17,"RACE","RACENAA"
2017,"NY",21.9,18.1,26.3,2155,"","11th","","(42.827001032, -75.543970427)",36,"GRADE","GRADE11"
2019,"MS",NA,NA,NA,NA,"","","American Indian/Alaska Native","(32.745510099, -89.538030825)",28,"RACE","RACENAA"
2019,"SC",21.5,18.7,24.5,1166,"","","","(33.998821303, -81.045371207)",45,"OVR","OVERALL"
2017,"KS",13.3,11.4,15.3,1305,"","","Non-Hispanic White","(38.3477403, -98.200781227)",20,"RACE","RACEWHT"
2003,"RI",NA,NA,NA,NA,"","","Non-Hispanic Black","(41.708280193, -71.522470314)",44,"RACE","RACEBLK"
