"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Grade","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2019,"IA",43.1,38.4,47.9,1529,"","","","(42.469400913, -93.816490556)",19,"OVR","OVERALL"
2019,"VT",29.4,28.1,30.6,5102,"","9th","","(43.625381239, -72.517640791)",50,"GRADE","GRADE09"
2019,"WV",47.3,42.3,52.3,438,"","10th","","(38.665510202, -80.712640135)",54,"GRADE","GRADE10"
2013,"US",38.7,36.7,40.7,6491,"Female","","","",59,"GEN","FEMALE"
2011,"UT",32.8,29.4,36.4,861,"Male","","","(39.360700171, -111.587130635)",49,"GEN","MALE"
2013,"US",38.9,36.6,41.3,3067,"","10th","","",59,"GRADE","GRADE10"
2001,"US",35,33,37.1,6616,"Female","","","",59,"GEN","FEMALE"
2009,"US",35.3,32.4,38.2,4020,"","11th","","",59,"GRADE","GRADE11"
2003,"MI",37.6,32.3,43.2,737,"","11th","","(44.661319543001, -84.71439027)",26,"GRADE","GRADE11"
2015,"NV",39.7,35.5,44,673,"Male","","","(39.49324039, -117.071840564)",32,"GEN","MALE"
2017,"SC",44.6,37.6,51.9,328,"","11th","","(33.998821303, -81.045371207)",45,"GRADE","GRADE11"
2007,"VT",31.2,27,35.8,3227,"Male","","","(43.625381239, -72.517640791)",50,"GEN","MALE"
2001,"VT",26.8,23.8,29.9,1924,"","10th","","(43.625381239, -72.517640791)",50,"GRADE","GRADE10"
2013,"KS",41.7,36.3,47.3,313,"","","Hispanic","(38.3477403, -98.200781227)",20,"RACE","RACEHIS"
2017,"CT",37.4,33.2,41.8,1142,"Female","","","(41.56266102, -72.649840952)",9,"GEN","FEMALE"
2015,"US",40,37.6,42.5,7584,"Female","","","",59,"GEN","FEMALE"
2009,"OK",46.6,38.5,54.9,261,"","12th","","(35.472031356, -97.521070214)",40,"GRADE","GRADE12"
2009,"IN",NA,NA,NA,NA,"","","Hawaiian/Pacific Islander","(39.766910452, -86.149960194)",18,"RACE","RACEHPI"
2015,"PA",40.1,35.1,45.3,725,"","9th","","(40.793730152, -77.860700294)",42,"GRADE","GRADE09"
2019,"CO",NA,NA,NA,NA,"","","Non-Hispanic Black","(38.843840757, -106.133610921)",8,"RACE","RACEBLK"
2019,"ME",NA,NA,NA,NA,"Male","","","(45.254228894001, -68.985031336)",23,"GEN","MALE"
2001,"US",32.7,26.5,39.6,361,"","","2 or more races","",59,"RACE","RACE2PLUS"
2017,"OK",46.9,41.1,52.8,360,"","11th","","(35.472031356, -97.521070214)",40,"GRADE","GRADE11"
2011,"US",36.9,34.5,39.3,3467,"","10th","","",59,"GRADE","GRADE10"
2013,"TN",46.7,41,52.6,514,"","9th","","(35.68094058, -85.774490914)",47,"GRADE","GRADE09"
2017,"AK",41.6,38.6,44.6,1305,"","","","(64.845079957001, -147.722059036)",2,"OVR","OVERALL"
2009,"TX",44.5,41.6,47.5,3475,"","","","(31.827240407, -99.426770206)",48,"OVR","OVERALL"
2009,"KY",48.4,39.8,57.1,199,"","","Non-Hispanic Black","(37.645970271, -84.774971048)",21,"RACE","RACEBLK"
