"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age.years.","Education","Gender","Income","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2020,"US",30.6,29.4,31.8,31255,"","","","","Hispanic","",59,"RACE","RACEHIS"
2015,"PR",38.1,32.6,43.8,421,"","","","$25,000 - $34,999","","(18.220833, -66.590149)",72,"INC","INC2535"
2015,"GU",30.5,25.8,35.6,559,"","High school graduate","","","","(13.444304, 144.793731)",66,"EDU","EDUHSGRAD"
2012,"WY",32.3,25.6,39.8,484,"","","","Less than $15,000","","(43.235541343, -108.109830353)",56,"INC","INCLESS15"
2020,"DE",15.3,6.9,30.6,65,"","","","","Asian","(39.008830667000495, -75.57774116799965)",10,"RACE","RACEASN"
2013,"US",27.9,27.6,28.3,266452,"","","Female","","","",59,"GEN","FEMALE"
2011,"US",16.9,16,17.8,20923,"18 - 24","","","","","",59,"AGEYR","AGEYR1824"
2015,"PR",50.4,46.4,54.3,862,"45 - 54","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR4554"
2020,"ME",21.7,19.9,23.7,4518,"","","Male","","","(45.254228894000505, -68.98503133599962)",23,"GEN","MALE"
2016,"US",34.2,33.5,35,66757,"","","","$15,000 - $24,999","","",59,"INC","INC1525"
2016,"MI",21.5,19,24.3,1664,"","","","$50,000 - $74,999","","(44.661319543001, -84.71439027)",26,"INC","INC5075"
2016,"WA",18.8,17.1,20.7,3054,"55 - 64","","","","","(47.522278629, -120.47001079)",53,"AGEYR","AGEYR5564"
2016,"CA",13.7,9.7,19.2,273,"","","","","2 or more races","(37.638640123, -120.999999538)",6,"RACE","RACE2PLUS"
2016,"PR",NA,NA,NA,NA,"","","","","Hawaiian/Pacific Islander","(18.220833, -66.590149)",72,"RACE","RACEHPI"
2016,"MA",17.5,16.3,18.8,6581,"","","","","Non-Hispanic White","(42.27687047, -72.082690675)",25,"RACE","RACEWHT"
2016,"PR",44.3,40.1,48.6,916,"45 - 54","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR4554"
2018,"MD",32.5,28,37.5,671,"","","","","Hispanic","(39.29058096400047, -76.60926011099963)",24,"RACE","RACEHIS"
2017,"VA",24.2,22.8,25.7,6533,"","","","","Non-Hispanic White","(37.542680674, -78.457890463)",51,"RACE","RACEWHT"
2020,"MN",28.5,25.8,31.4,1664,"","","","$15,000 - $24,999","","(46.35564873600049, -94.79420050299967)",27,"INC","INC1525"
2015,"US",34,33.2,34.8,52626,"","","","$15,000 - $24,999","","",59,"INC","INC1525"
2017,"GU",46.1,37.2,55.3,200,"","","","Less than $15,000","","(13.444304, 144.793731)",66,"INC","INCLESS15"
2014,"LA",23.6,12.8,39.2,74,"","","","","2 or more races","(31.312660644, -92.445680071)",22,"RACE","RACE2PLUS"
2020,"SD",22.6,19.5,26.1,3064,"","","Male","","","(44.353130053000484, -100.3735306369997)",46,"GEN","MALE"
2017,"LA",NA,NA,NA,NA,"","","","","Asian","(31.312660644, -92.445680071)",22,"RACE","RACEASN"
2011,"US",22.1,21.4,22.8,45883,"25 - 34","","","","","",59,"AGEYR","AGEYR2534"
2011,"US",28.1,27.5,28.6,109526,"55 - 64","","","","","",59,"AGEYR","AGEYR5564"
2020,"WY",24,20.5,27.8,927,"55 - 64","","","","","(43.23554134300048, -108.10983035299967)",56,"AGEYR","AGEYR5564"
2016,"CO",25.9,23.2,28.8,1692,"","","","$15,000 - $24,999","","(38.843840757, -106.133610921)",8,"INC","INC1525"
2016,"OR",30.5,25.1,36.4,326,"","","","","Hispanic","(44.567449424, -120.155031326)",41,"RACE","RACEHIS"
2016,"WI",23.8,19.8,28.4,733,"","","","Data not reported","","(44.393191174, -89.816370742)",55,"INC","INCNR"
2016,"WA",30.5,26.7,34.5,760,"","Less than high school","","","","(47.522278629, -120.47001079)",53,"EDU","EDUHS"
2016,"AZ",23.1,21.7,24.5,10921,"","","","","","(34.86597028, -111.763811277)",4,"OVR","OVERALL"
2016,"RI",13.1,6.6,24.1,70,"","","","","2 or more races","(41.708280193, -71.522470314)",44,"RACE","RACE2PLUS"
2016,"MA",10.6,9,12.3,2878,"","","","$75,000 or greater","","(42.27687047, -72.082690675)",25,"INC","INC75PLUS"
2016,"VI",24.6,18.7,31.6,321,"55 - 64","","","","","(18.335765, -64.896335)",78,"AGEYR","AGEYR5564"
2017,"US",20,18.2,21.9,8430,"","","","","Asian","",59,"RACE","RACEASN"
2015,"US",23.2,19.9,26.8,1662,"","","","","Other","",59,"RACE","RACEOTH"
2015,"PR",33.2,25.8,41.5,185,"","","","$50,000 - $74,999","","(18.220833, -66.590149)",72,"INC","INC5075"
2011,"US",22.7,21,24.4,8288,"","","","","Asian","",59,"RACE","RACEASN"
2014,"CA",19.6,17.5,21.7,2032,"","Some college or technical school","","","","(37.638640123, -120.999999538)",6,"EDU","EDUCOTEC"
2017,"DC",20.2,11.4,33,84,"","","","","Asian","(38.890371385, -77.031961127)",11,"RACE","RACEASN"
2015,"PR",34,28.4,40.1,320,"","","","$35,000 - $49,999","","(18.220833, -66.590149)",72,"INC","INC3550"
2017,"CO",15.7,12.5,19.4,524,"18 - 24","","","","","(38.843840757, -106.133610921)",8,"AGEYR","AGEYR1824"
2014,"KS",NA,NA,NA,NA,"","","","","Hawaiian/Pacific Islander","(38.3477403, -98.200781227)",20,"RACE","RACEHPI"
2016,"FL",36.4,34.5,38.4,11047,"","High school graduate","","","","(28.932040377, -81.928960539)",12,"EDU","EDUHSGRAD"
2016,"WY",12.5,7.5,20.2,146,"18 - 24","","","","","(43.235541343, -108.109830353)",56,"AGEYR","AGEYR1824"
2016,"WY",30.8,25.1,37.1,621,"","","","Data not reported","","(43.235541343, -108.109830353)",56,"INC","INCNR"
2016,"GU",34.5,29.8,39.6,877,"","","Female","","","(13.444304, 144.793731)",66,"GEN","FEMALE"
2016,"SC",29.1,26.4,32,1721,"45 - 54","","","","","(33.998821303, -81.045371207)",45,"AGEYR","AGEYR4554"
2017,"NE",28.4,25.7,31.2,2075,"45 - 54","","","","","(41.641040988001, -99.365720623)",31,"AGEYR","AGEYR4554"
2016,"IL",20.7,18.5,23.2,1360,"","Some college or technical school","","","","(40.485010283, -88.997710178)",17,"EDU","EDUCOTEC"
2016,"WI",9.2,7.5,11.3,1435,"","","","$75,000 or greater","","(44.393191174, -89.816370742)",55,"INC","INC75PLUS"
2016,"CO",21.5,20.2,23,5128,"65 or older","","","","","(38.843840757, -106.133610921)",8,"AGEYR","AGEYR65PLUS"
2016,"MO",30.6,27.9,33.5,2333,"","High school graduate","","","","(38.635790776, -92.566300053)",29,"EDU","EDUHSGRAD"
2016,"SC",19.1,16.1,22.3,943,"25 - 34","","","","","(33.998821303, -81.045371207)",45,"AGEYR","AGEYR2534"
2016,"NH",18.4,14.8,22.6,593,"35 - 44","","","","","(43.655950113, -71.50036092)",33,"AGEYR","AGEYR3544"
