"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age.years.","Education","Gender","Income","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2014,"GU",29.3,25.7,33.3,842,"","High school graduate","","","","(13.444304, 144.793731)",66,"EDU","EDUHSGRAD"
2013,"US",28.8,28.1,29.5,62562,"","","","$50,000 - $74,999","","",59,"INC","INC5075"
2012,"DC",31.6,24,40.4,243,"","Less than high school","","","","(38.890371385, -77.031961127)",11,"EDU","EDUHS"
2011,"AL",35.2,30.7,40,598,"25 - 34","","","","","(32.840571122, -86.631860762)",1,"AGEYR","AGEYR2534"
2011,"US",35.4,33,37.9,6649,"","","","","American Indian/Alaska Native","",59,"RACE","RACENAA"
2015,"GU",33.7,25.1,43.4,285,"55 - 64","","","","","(13.444304, 144.793731)",66,"AGEYR","AGEYR5564"
2011,"RI",32.1,21.6,44.8,109,"","","","","Other","(41.708280193, -71.522470314)",44,"RACE","RACEOTH"
2014,"GU",34.5,27.8,41.9,333,"","","","Less than $15,000","","(13.444304, 144.793731)",66,"INC","INCLESS15"
2013,"US",31.5,30.5,32.5,27737,"","","","","Hispanic","",59,"RACE","RACEHIS"
2014,"US",32.2,31.5,33,62892,"","","","$15,000 - $24,999","","",59,"INC","INC1525"
2015,"PR",29.5,28,31.1,5154,"","","","","","(18.220833, -66.590149)",72,"OVR","OVERALL"
2016,"NY",25.9,24.5,27.3,14316,"","","Male","","","(42.827001032, -75.543970427)",36,"GEN","MALE"
2016,"RI",20.1,17.9,22.4,2071,"","College graduate","","","","(41.708280193, -71.522470314)",44,"EDU","EDUCOGRAD"
2016,"CA",36,32.9,39.2,1256,"","Less than high school","","","","(37.638640123, -120.999999538)",6,"EDU","EDUHS"
2016,"WA",29.1,28,30.2,10788,"","","","","Non-Hispanic White","(47.522278629, -120.47001079)",53,"RACE","RACEWHT"
2016,"NH",26.6,24.4,28.9,2732,"","","Male","","","(43.655950113, -71.50036092)",33,"GEN","MALE"
2016,"NM",28.3,26.6,30.1,5531,"","","","","","(34.520880952, -106.240580985)",35,"OVR","OVERALL"
2012,"NJ",25,22,28.4,1533,"","","","$35,000 - $49,999","","(40.130570048, -74.273691288)",34,"INC","INC3550"
2015,"US",29.1,28.7,29.5,176407,"","","Male","","","",59,"GEN","MALE"
2017,"HI",25.1,23.2,27.1,3529,"","","Male","","","(21.304850435, -157.857749403)",15,"GEN","MALE"
2011,"US",32.3,31.4,33.2,49598,"","","","Less than $15,000","","",59,"INC","INCLESS15"
2015,"GU",25,16.8,35.5,195,"18 - 24","","","","","(13.444304, 144.793731)",66,"AGEYR","AGEYR1824"
2015,"SD",35.8,30.5,41.5,742,"35 - 44","","","","","(44.353130053, -100.373530637)",46,"AGEYR","AGEYR3544"
2017,"WV",NA,NA,NA,NA,"","","","","Hawaiian/Pacific Islander","(38.665510202, -80.712640135)",54,"RACE","RACEHPI"
2016,"NH",26.6,25,28.2,5888,"","","","","","(43.655950113, -71.50036092)",33,"OVR","OVERALL"
2016,"OK",33.3,30.9,35.6,2710,"","","Male","","","(35.472031356, -97.521070214)",40,"GEN","MALE"
2016,"MS",41.9,37.6,46.3,964,"","","","$15,000 - $24,999","","(32.745510099, -89.538030825)",28,"INC","INC1525"
2016,"KS",30.5,29.4,31.7,9541,"","","","","Non-Hispanic White","(38.3477403, -98.200781227)",20,"RACE","RACEWHT"
2016,"FL",26.6,25.2,28.1,18545,"","","Female","","","(28.932040377, -81.928960539)",12,"GEN","FEMALE"
2016,"ME",NA,NA,NA,NA,"","","","","Asian","(45.254228894001, -68.985031336)",23,"RACE","RACEASN"
2016,"LA",36.6,29.9,43.8,474,"","","","$25,000 - $34,999","","(31.312660644, -92.445680071)",22,"INC","INC2535"
2016,"NJ",29.2,25.9,32.7,1814,"","High school graduate","","","","(40.130570048, -74.273691288)",34,"EDU","EDUHSGRAD"
2019,"US",30.6,30.2,31,176623,"","","Male","","","",59,"GEN","MALE"
2017,"MT",27.2,25,29.5,2658,"","","Male","","","(47.066528972, -109.424420645)",30,"GEN","MALE"
2014,"US",35.2,34.2,36.2,39123,"","","","Less than $15,000","","",59,"INC","INCLESS15"
2013,"PR",26.5,22.4,31,626,"25 - 34","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR2534"
2019,"DC",25.9,22.5,29.5,864,"65 or older","","","","","(38.89037138500049, -77.03196112699965)",11,"AGEYR","AGEYR65PLUS"
2014,"NY",NA,NA,NA,NA,"","","","","American Indian/Alaska Native","(42.827001032, -75.543970427)",36,"RACE","RACENAA"
2012,"US",29.7,27.6,31.9,8459,"","","","","2 or more races","",59,"RACE","RACE2PLUS"
2014,"US",38.9,37.9,39.8,32434,"","","","","Non-Hispanic Black","",59,"RACE","RACEBLK"
2011,"US",29.9,29.2,30.6,60254,"35 - 44","","","","","",59,"AGEYR","AGEYR3544"
2015,"GA",24.6,21.3,28.2,1041,"","","","$75,000 or greater","","(32.839681093, -83.627580346)",13,"INC","INC75PLUS"
2014,"GU",24.6,18.4,32.1,301,"","","","$25,000 - $34,999","","(13.444304, 144.793731)",66,"INC","INC2535"
2015,"NC",15.9,9.4,25.7,89,"","","","","2 or more races","(35.466220975, -79.159250463)",37,"RACE","RACE2PLUS"
2016,"WY",37,31.3,43,433,"35 - 44","","","","","(43.235541343, -108.109830353)",56,"AGEYR","AGEYR3544"
2016,"NC",NA,NA,NA,NA,"","","","","Hawaiian/Pacific Islander","(35.466220975, -79.159250463)",37,"RACE","RACEHPI"
2016,"CO",26.9,24.7,29.2,2191,"45 - 54","","","","","(38.843840757, -106.133610921)",8,"AGEYR","AGEYR4554"
2016,"US",32,31.2,32.8,54639,"","","","$35,000 - $49,999","","",59,"INC","INC3550"
2016,"VI",41.4,33.3,49.8,217,"45 - 54","","","","","(18.335765, -64.896335)",78,"AGEYR","AGEYR4554"
2016,"KY",34.3,31.7,37,2718,"","Some college or technical school","","","","(37.645970271, -84.774971048)",21,"EDU","EDUCOTEC"
2016,"WA",NA,NA,NA,NA,"","","","","Hawaiian/Pacific Islander","(47.522278629, -120.47001079)",53,"RACE","RACEHPI"
2016,"GU",31.9,22.6,42.9,128,"","Less than high school","","","","(13.444304, 144.793731)",66,"EDU","EDUHS"
2016,"KS",36,32.9,39.2,1224,"35 - 44","","","","","(38.3477403, -98.200781227)",20,"AGEYR","AGEYR3544"
2016,"OK",32.2,30.2,34.3,3739,"","","Female","","","(35.472031356, -97.521070214)",40,"GEN","FEMALE"
2016,"ND",32.2,30.1,34.4,2541,"","","Male","","","(47.475319779, -100.118421049)",38,"GEN","MALE"
2016,"MT",25.5,23.9,27.2,5483,"","","","","","(47.066528972, -109.424420645)",30,"OVR","OVERALL"
2014,"GU",28.9,23.2,35.3,361,"","","","$35,000 - $49,999","","(13.444304, 144.793731)",66,"INC","INC3550"
2015,"US",36,33.6,38.5,6040,"","","","","American Indian/Alaska Native","",59,"RACE","RACENAA"
2016,"TX",30.7,26.8,34.8,1098,"25 - 34","","","","","(31.827240407, -99.426770206)",48,"AGEYR","AGEYR2534"
2016,"IL",30.9,28.1,33.8,1492,"65 or older","","","","","(40.485010283, -88.997710178)",17,"AGEYR","AGEYR65PLUS"
2016,"TN",NA,NA,NA,NA,"","","","","Asian","(35.68094058, -85.774490914)",47,"RACE","RACEASN"
2016,"MI",33.2,31.3,35.1,3445,"","Some college or technical school","","","","(44.661319543001, -84.71439027)",26,"EDU","EDUCOTEC"
2016,"RI",25.4,23.5,27.4,4117,"","","","","Non-Hispanic White","(41.708280193, -71.522470314)",44,"RACE","RACEWHT"
2016,"MI",38.7,34.7,42.8,920,"","","","Less than $15,000","","(44.661319543001, -84.71439027)",26,"INC","INCLESS15"
2016,"NV",14.1,7.8,24.3,121,"","","","","Asian","(39.49324039, -117.071840564)",32,"RACE","RACEASN"
2016,"WI",29.9,27.5,32.4,2507,"","","Female","","","(44.393191174, -89.816370742)",55,"GEN","FEMALE"
2013,"PR",28.7,25.5,32.1,1235,"","Less than high school","","","","(18.220833, -66.590149)",72,"EDU","EDUHS"
2014,"US",9.4,8.2,10.8,7813,"","","","","Asian","",59,"RACE","RACEASN"
2015,"US",34,33.3,34.7,64418,"45 - 54","","","","","",59,"AGEYR","AGEYR4554"
2017,"GU",38.1,30.7,46,274,"55 - 64","","","","","(13.444304, 144.793731)",66,"AGEYR","AGEYR5564"
2013,"US",34.9,32.4,37.4,7291,"","","","","American Indian/Alaska Native","",59,"RACE","RACENAA"
2011,"US",32.6,32,33.2,107279,"55 - 64","","","","","",59,"AGEYR","AGEYR5564"
2011,"US",29.7,29.2,30.2,138994,"","High school graduate","","","","",59,"EDU","EDUHSGRAD"
2011,"US",30.3,28.2,32.6,8412,"","","","","2 or more races","",59,"RACE","RACE2PLUS"
