"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Grade","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2019,"AZ",13.3,10.7,16.5,1739,"","","","(34.86597028, -111.763811277)",4,"OVR","OVERALL"
2019,"DC",17.1,16.2,17.9,8978,"","","","(38.890371385, -77.031961127)",11,"OVR","OVERALL"
2011,"RI",11.5,8.9,14.8,1199,"","9th","","(41.708280193, -71.522470314)",44,"GRADE","GRADE09"
2019,"MT",12.2,10,14.9,1045,"","10th","","(47.066528972, -109.424420645)",30,"GRADE","GRADE10"
2019,"NE",10.3,7.7,13.6,649,"Female","","","(41.641040988001, -99.365720623)",31,"GEN","FEMALE"
2019,"NC",17.3,12,24.3,883,"","9th","","(35.466220975, -79.159250463)",37,"GRADE","GRADE09"
2019,"SD",17,13.6,21.2,351,"","10th","","(44.353130053, -100.373530637)",46,"GRADE","GRADE10"
2019,"PR",NA,NA,NA,NA,"","","Asian","(18.220833, -66.590149)",72,"RACE","RACEASN"
2015,"ME",14.5,10.5,19.7,374,"","","Hispanic","(45.254228894001, -68.985031336)",23,"RACE","RACEHIS"
2013,"FL",14.9,13.4,16.5,2675,"Male","","","(28.932040377, -81.928960539)",12,"GEN","MALE"
2015,"MT",10.5,8.4,13,1131,"","10th","","(47.066528972, -109.424420645)",30,"GRADE","GRADE10"
2013,"ME",11.6,9.4,14.1,1840,"","12th","","(45.254228894001, -68.985031336)",23,"GRADE","GRADE12"
2005,"NH",7.7,5.5,10.7,605,"Female","","","(43.655950113, -71.50036092)",33,"GEN","FEMALE"
2017,"ND",14.9,13.2,16.7,2085,"","","","(47.475319779, -100.118421049)",38,"OVR","OVERALL"
2017,"OK",20,13.5,28.6,191,"","12th","","(35.472031356, -97.521070214)",40,"GRADE","GRADE12"
2009,"TX",11.9,9.9,14.3,791,"","11th","","(31.827240407, -99.426770206)",48,"GRADE","GRADE11"
2005,"TN",15.1,10.4,21.5,229,"","12th","","(35.68094058, -85.774490914)",47,"GRADE","GRADE12"
2011,"VT",9.2,6.8,12.3,1956,"","9th","","(43.625381239, -72.517640791)",50,"GRADE","GRADE09"
2007,"IL",11.5,8.7,15.2,531,"","9th","","(40.485010283, -88.997710178)",17,"GRADE","GRADE09"
2005,"HI",11.9,7.6,18.2,320,"","12th","","(21.304850435, -157.857749403)",15,"GRADE","GRADE12"
2011,"IN",18.3,13.1,24.9,209,"","","Hispanic","(39.766910452, -86.149960194)",18,"RACE","RACEHIS"
2011,"MS",NA,NA,NA,NA,"","","Asian","(32.745510099, -89.538030825)",28,"RACE","RACEASN"
2009,"IN",12.6,10.4,15.2,1462,"","","","(39.766910452, -86.149960194)",18,"OVR","OVERALL"
2013,"MD",8.2,7.7,8.6,24765,"Female","","","(39.290580964, -76.609260111)",24,"GEN","FEMALE"
2011,"FL",7.7,6.6,9,2804,"Female","","","(28.932040377, -81.928960539)",12,"GEN","FEMALE"
2005,"ME",11.6,6.1,20.8,304,"","11th","","(45.254228894001, -68.985031336)",23,"GRADE","GRADE11"
2001,"NC",9,7.4,10.8,1265,"Female","","","(35.466220975, -79.159250463)",37,"GEN","FEMALE"
2007,"AR",13.7,11.5,16.3,1550,"","","","(34.748650124, -92.274490743)",5,"OVR","OVERALL"
2017,"ME",14.5,12.8,16.4,2205,"","11th","","(45.254228894001, -68.985031336)",23,"GRADE","GRADE11"
2009,"VT",9.2,4.5,18.1,158,"","","Non-Hispanic Black","(43.625381239, -72.517640791)",50,"RACE","RACEBLK"
2013,"RI",13.3,11.4,15.5,1108,"Male","","","(41.708280193, -71.522470314)",44,"GEN","MALE"
2017,"NH",15.8,14.7,17.1,5375,"Male","","","(43.655950113, -71.50036092)",33,"GEN","MALE"
2011,"IA",13.2,10.4,16.7,1432,"","","","(42.469400913, -93.816490556)",19,"OVR","OVERALL"
2017,"CA",10,6.5,15.1,790,"Female","","","(37.638640123, -120.999999538)",6,"GEN","FEMALE"
2011,"MT",9,7.2,11.1,1017,"","11th","","(47.066528972, -109.424420645)",30,"GRADE","GRADE11"
2011,"NJ",9.1,5.9,13.9,448,"","9th","","(40.130570048, -74.273691288)",34,"GRADE","GRADE09"
2003,"NE",15.1,9.2,24,145,"","","Hispanic","(41.641040988001, -99.365720623)",31,"RACE","RACEHIS"
2009,"NJ",13.8,11.3,16.7,751,"Male","","","(40.130570048, -74.273691288)",34,"GEN","MALE"
2013,"UT",6.4,4.8,8.5,2136,"","","","(39.360700171, -111.587130635)",49,"OVR","OVERALL"
2005,"MD",12.6,10.5,15,1350,"","","","(39.290580964, -76.609260111)",24,"OVR","OVERALL"
2003,"MI",17.2,12.6,23.1,448,"","","Non-Hispanic Black","(44.661319543001, -84.71439027)",26,"RACE","RACEBLK"
2011,"US",13,11.7,14.4,14285,"","","","",59,"OVR","OVERALL"
2011,"US",13.6,11.9,15.6,3444,"","9th","","",59,"GRADE","GRADE09"
2007,"MD",9.1,6.3,13,752,"Female","","","(39.290580964, -76.609260111)",24,"GEN","FEMALE"
2009,"US",15.2,13.3,17.4,7598,"Male","","","",59,"GEN","MALE"
2015,"MS",21.7,18.6,25.2,962,"Male","","","(32.745510099, -89.538030825)",28,"GEN","MALE"
2003,"US",11.8,10.1,13.7,3539,"","10th","","",59,"GRADE","GRADE10"
2017,"UT",7.5,5.4,10.3,511,"","11th","","(39.360700171, -111.587130635)",49,"GRADE","GRADE11"
2007,"WY",11,8.6,14,586,"","9th","","(43.235541343, -108.109830353)",56,"GRADE","GRADE09"
2015,"AK",10.9,8.4,14.1,666,"Female","","","(64.845079957001, -147.722059036)",2,"GEN","FEMALE"
2005,"NY",6.4,4.6,8.7,661,"","","Asian","(42.827001032, -75.543970427)",36,"RACE","RACEASN"
2003,"US",6.8,3.8,11.9,360,"","","Asian","",59,"RACE","RACEASN"
2001,"MT",5.7,4.2,7.8,795,"","9th","","(47.066528972, -109.424420645)",30,"GRADE","GRADE09"
2009,"IL",11.9,9.9,14.2,2896,"","","","(40.485010283, -88.997710178)",17,"OVR","OVERALL"
2007,"IL",12.4,9.4,16.3,619,"","11th","","(40.485010283, -88.997710178)",17,"GRADE","GRADE11"
2009,"CO",6.9,5.1,9.3,1397,"","","","(38.843840757, -106.133610921)",8,"OVR","OVERALL"
2013,"US",13.6,11.8,15.7,2949,"","10th","","",59,"GRADE","GRADE10"
2001,"RI",15.2,10.7,21.2,104,"","","Non-Hispanic Black","(41.708280193, -71.522470314)",44,"RACE","RACEBLK"
2005,"US",12.6,11.1,14.1,3370,"","12th","","",59,"GRADE","GRADE12"
2011,"US",12.5,10.7,14.5,3485,"","12th","","",59,"GRADE","GRADE12"
2003,"VI",13.3,11.2,15.8,870,"","","","(18.335765, -64.896335)",78,"OVR","OVERALL"
2001,"US",6.7,3.7,11.8,368,"","","Asian","",59,"RACE","RACEASN"
2017,"MA",17.5,13.7,22.1,663,"","","Hispanic","(42.27687047, -72.082690675)",25,"RACE","RACEHIS"
2005,"SC",16.7,12.5,21.9,577,"Male","","","(33.998821303, -81.045371207)",45,"GEN","MALE"
2005,"US",16.7,14.4,19.2,3008,"","","Hispanic","",59,"RACE","RACEHIS"
2001,"FL",7.9,6.3,9.8,835,"","11th","","(28.932040377, -81.928960539)",12,"GRADE","GRADE11"
2013,"CT",12.3,10.2,14.7,2270,"","","","(41.56266102, -72.649840952)",9,"OVR","OVERALL"
2017,"ID",12.2,10,14.8,821,"Male","","","(43.682630005, -114.363730042)",16,"GEN","MALE"
2007,"US",13.5,12.2,14.9,3230,"","9th","","",59,"GRADE","GRADE09"
2009,"MD",12.1,8.2,17.4,480,"","9th","","(39.290580964, -76.609260111)",24,"GRADE","GRADE09"
2007,"US",16.2,15,17.5,6597,"Male","","","",59,"GEN","MALE"
2001,"DE",NA,NA,NA,NA,"","","Asian","(39.008830667, -75.577741168)",10,"RACE","RACEASN"
2001,"MI",13.9,12.2,15.9,1712,"Male","","","(44.661319543001, -84.71439027)",26,"GEN","MALE"
2015,"MT",7.4,6.3,8.7,2132,"Female","","","(47.066528972, -109.424420645)",30,"GEN","FEMALE"
2013,"WI",10,7.1,13.9,664,"","12th","","(44.393191174, -89.816370742)",55,"GRADE","GRADE12"
2013,"ME",12.4,10.5,14.6,2150,"","9th","","(45.254228894001, -68.985031336)",23,"GRADE","GRADE09"
2005,"NM",6.5,4.8,8.9,2707,"Female","","","(34.520880952, -106.240580985)",35,"GEN","FEMALE"
2003,"WY",6.3,4.3,9.2,347,"","10th","","(43.235541343, -108.109830353)",56,"GRADE","GRADE10"
2013,"MD",11,10.6,11.4,49231,"","","","(39.290580964, -76.609260111)",24,"OVR","OVERALL"
2009,"KS",12.2,10.2,14.5,1906,"","","","(38.3477403, -98.200781227)",20,"OVR","OVERALL"
2013,"WI",8.1,6.1,10.6,1400,"Female","","","(44.393191174, -89.816370742)",55,"GEN","FEMALE"
