"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age.years.","Education","Gender","Income","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2013,"US",32.7,31.9,33.5,60069,"","","","Data not reported","","",59,"INC","INCNR"
2012,"WY",48.5,32.3,64.9,69,"","","","","American Indian/Alaska Native","(43.235541343, -108.109830353)",56,"RACE","RACENAA"
2015,"RI",40.2,33.3,47.4,354,"","","","","Hispanic","(41.708280193, -71.522470314)",44,"RACE","RACEHIS"
2015,"GU",NA,NA,NA,NA,"","","","","Other","(13.444304, 144.793731)",66,"RACE","RACEOTH"
2012,"US",35.1,34.6,35.7,120032,"","Some college or technical school","","","","",59,"EDU","EDUCOTEC"
2015,"PR",42,38.4,45.7,997,"55 - 64","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR5564"
2014,"PR",36.1,33.6,38.7,2214,"","","","Less than $15,000","","(18.220833, -66.590149)",72,"INC","INCLESS15"
2011,"US",31.6,30.7,32.6,49576,"","","","Less than $15,000","","",59,"INC","INCLESS15"
2016,"WY",29.8,26.9,32.8,2293,"","","Female","","","(43.235541343, -108.109830353)",56,"GEN","FEMALE"
2016,"VA",40.1,36.5,43.8,951,"35 - 44","","","","","(37.542680674, -78.457890463)",51,"AGEYR","AGEYR3544"
2016,"UT",33,29.7,36.4,1506,"","","","Data not reported","","(39.360700171, -111.587130635)",49,"INC","INCNR"
2016,"DE",38.5,36,41.1,2645,"","","","","Non-Hispanic White","(39.008830667, -75.577741168)",10,"RACE","RACEWHT"
2016,"AL",35.3,32.2,38.5,1402,"55 - 64","","","","","(32.840571122, -86.631860762)",1,"AGEYR","AGEYR5564"
2016,"AR",38,34.4,41.7,1918,"","","Male","","","(34.748650124, -92.274490743)",5,"GEN","MALE"
2016,"IL",27.5,25.4,29.7,2492,"","","Female","","","(40.485010283, -88.997710178)",17,"GEN","FEMALE"
2011,"US",35.9,35.3,36.4,138961,"","High school graduate","","","","",59,"EDU","EDUHSGRAD"
2015,"GU",NA,NA,NA,NA,"","","","","Non-Hispanic Black","(13.444304, 144.793731)",66,"RACE","RACEBLK"
2013,"PR",37.4,34.8,40,2273,"","","","Less than $15,000","","(18.220833, -66.590149)",72,"INC","INCLESS15"
2013,"US",33.2,30.8,35.7,7291,"","","","","American Indian/Alaska Native","",59,"RACE","RACENAA"
2014,"PR",42.7,38.9,46.6,960,"45 - 54","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR4554"
2011,"US",35.5,34.6,36.4,48923,"","","","$25,000 - $34,999","","",59,"INC","INC2535"
2014,"PR",42.8,34.5,51.5,199,"","","","$75,000 or greater","","(18.220833, -66.590149)",72,"INC","INC75PLUS"
2016,"VA",35.4,32.8,38,2168,"","High school graduate","","","","(37.542680674, -78.457890463)",51,"EDU","EDUHSGRAD"
2012,"US",41.9,41.4,42.3,185040,"","","Male","","","",59,"GEN","MALE"
2016,"WV",33.1,29.5,36.9,771,"","Less than high school","","","","(38.665510202, -80.712640135)",54,"EDU","EDUHS"
2016,"ID",38.4,34.4,42.5,1009,"55 - 64","","","","","(43.682630005, -114.363730042)",16,"AGEYR","AGEYR5564"
2016,"OR",27.7,25.8,29.8,2683,"","","Female","","","(44.567449424, -120.155031326)",41,"GEN","FEMALE"
2014,"US",33.2,32.4,34,62892,"","","","$15,000 - $24,999","","",59,"INC","INC1525"
2013,"US",36.6,32.8,40.6,2446,"","","","","Other","",59,"RACE","RACEOTH"
2015,"US",32.5,30.7,34.5,8324,"","","","","Asian","",59,"RACE","RACEASN"
2018,"AL",31.9,28,36.1,719,"35 - 44","","","","","(32.84057112200048, -86.63186076199969)",1,"AGEYR","AGEYR3544"
2013,"US",39.5,38.9,40,152140,"65 or older","","","","","",59,"AGEYR","AGEYR65PLUS"
2013,"US",35.3,34.8,35.8,133402,"","High school graduate","","","","",59,"EDU","EDUHSGRAD"
2015,"US",32.8,32,33.5,60962,"","","","Data not reported","","",59,"INC","INCNR"
2014,"US",34.2,33.2,35.2,32260,"","Less than high school","","","","",59,"EDU","EDUHS"
2011,"WA",39.5,37.5,41.5,5835,"","","Male","","","(47.522278629, -120.47001079)",53,"GEN","MALE"
2014,"PR",41.8,39,44.6,1916,"65 or older","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR65PLUS"
2015,"US",34.9,34.4,35.5,110951,"","High school graduate","","","","",59,"EDU","EDUHSGRAD"
2016,"NC",34.1,30.4,38.1,945,"","","","Data not reported","","(35.466220975, -79.159250463)",37,"INC","INCNR"
2016,"DC",32.2,29.5,34.9,1857,"","College graduate","","","","(38.890371385, -77.031961127)",11,"EDU","EDUCOGRAD"
2016,"PA",38.2,35.3,41.1,1914,"","","","$75,000 or greater","","(40.793730152, -77.860700294)",42,"INC","INC75PLUS"
2017,"PA",39.2,35.4,43.2,1087,"45 - 54","","","","","(40.793730152, -77.860700294)",42,"AGEYR","AGEYR4554"
2013,"US",34.9,34,35.9,36815,"","","","","Non-Hispanic Black","",59,"RACE","RACEBLK"
2016,"AR",30.7,25.4,36.5,871,"","","","Data not reported","","(34.748650124, -92.274490743)",5,"INC","INCNR"
2016,"OK",30,24.5,36.1,407,"","","","","American Indian/Alaska Native","(35.472031356, -97.521070214)",40,"RACE","RACENAA"
2016,"MI",38.6,36,41.4,1812,"45 - 54","","","","","(44.661319543001, -84.71439027)",26,"AGEYR","AGEYR4554"
2014,"US",32.2,30.3,34.2,8036,"","","","","2 or more races","",59,"RACE","RACE2PLUS"
2018,"TX",27.2,24.7,29.8,5451,"","","Female","","","(31.827240407000488, -99.42677020599967)",48,"GEN","FEMALE"
2014,"GU",37.2,29.3,45.8,301,"","","","$50,000 - $74,999","","(13.444304, 144.793731)",66,"INC","INC5075"
2020,"UT",22.9,20,26.1,955,"18 - 24","","","","","(39.360700171000474, -111.58713063499971)",49,"AGEYR","AGEYR1824"
2017,"MD",37.1,35.1,39.1,5044,"65 or older","","","","","(39.290580964, -76.609260111)",24,"AGEYR","AGEYR65PLUS"
2015,"US",39.1,38.6,39.6,141064,"65 or older","","","","","",59,"AGEYR","AGEYR65PLUS"
2014,"GU",32.7,24.4,42.2,199,"","","","Data not reported","","(13.444304, 144.793731)",66,"INC","INCNR"
2012,"US",35.7,35.4,36,442230,"","","","","","",59,"OVR","OVERALL"
2014,"PR",37.6,36,39.2,5743,"","","","","","(18.220833, -66.590149)",72,"OVR","OVERALL"
2015,"PR",39.4,35.9,43.1,1031,"","Less than high school","","","","(18.220833, -66.590149)",72,"EDU","EDUHS"
2016,"OR",32.9,27.3,39,366,"","","","Less than $15,000","","(44.567449424, -120.155031326)",41,"INC","INCLESS15"
2016,"DE",37,32.8,41.4,920,"","Some college or technical school","","","","(39.008830667, -75.577741168)",10,"EDU","EDUCOTEC"
2016,"HI",27.9,21.3,35.6,276,"","Less than high school","","","","(21.304850435, -157.857749403)",15,"EDU","EDUHS"
2016,"IN",33.4,29.4,37.6,733,"25 - 34","","","","","(39.766910452, -86.149960194)",18,"AGEYR","AGEYR2534"
2016,"IN",36.3,32.6,40.1,1022,"35 - 44","","","","","(39.766910452, -86.149960194)",18,"AGEYR","AGEYR3544"
2016,"CO",38.9,36.8,41,3151,"55 - 64","","","","","(38.843840757, -106.133610921)",8,"AGEYR","AGEYR5564"
2015,"GU",40.1,32.7,47.9,309,"","","","$75,000 or greater","","(13.444304, 144.793731)",66,"INC","INC75PLUS"
2014,"MS",39.6,36.3,42.9,1475,"","","Male","","","(32.745510099, -89.538030825)",28,"GEN","MALE"
2013,"US",30.6,28.6,32.6,8394,"","","","","Asian","",59,"RACE","RACEASN"
2015,"PR",39.5,31.6,48,186,"","","","$50,000 - $74,999","","(18.220833, -66.590149)",72,"INC","INC5075"
2016,"PR",38.4,35.6,41.2,2105,"","","Male","","","(18.220833, -66.590149)",72,"GEN","MALE"
2016,"OH",25.9,16.7,37.9,109,"","","","","Asian","(40.060210141, -82.404260056)",39,"RACE","RACEASN"
2016,"VT",36.2,33.2,39.4,1691,"","","","$75,000 or greater","","(43.625381239, -72.517640791)",50,"INC","INC75PLUS"
2016,"IN",33.5,30.5,36.5,1550,"45 - 54","","","","","(39.766910452, -86.149960194)",18,"AGEYR","AGEYR4554"
2016,"FL",39.7,37.9,41.6,13657,"65 or older","","","","","(28.932040377, -81.928960539)",12,"AGEYR","AGEYR65PLUS"
2016,"TN",32,27.7,36.6,769,"","","","$35,000 - $49,999","","(35.68094058, -85.774490914)",47,"INC","INC3550"
2016,"KY",37,33.5,40.5,1619,"45 - 54","","","","","(37.645970271, -84.774971048)",21,"AGEYR","AGEYR4554"
2016,"IL",32.5,29.2,36,1037,"","High school graduate","","","","(40.485010283, -88.997710178)",17,"EDU","EDUHSGRAD"
2016,"SC",32.2,28.4,36.2,1132,"","Less than high school","","","","(33.998821303, -81.045371207)",45,"EDU","EDUHS"
