"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Grade","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2019,"MD",16.7,14.5,19.2,2573,"","","2 or more races","(39.290580964, -76.609260111)",24,"RACE","RACE2PLUS"
2019,"NM",16.7,15.5,18,4723,"","","Hispanic","(34.520880952, -106.240580985)",35,"RACE","RACEHIS"
2017,"VT",14.1,13.6,14.6,18504,"","","","(43.625381239, -72.517640791)",50,"OVR","OVERALL"
2019,"WV",16.2,13.7,19,1066,"","","Non-Hispanic White","(38.665510202, -80.712640135)",54,"RACE","RACEWHT"
2017,"GU",20.9,16,26.7,279,"","10th","","(13.444304, 144.793731)",66,"GRADE","GRADE10"
2005,"ID",13.6,10.1,18.1,484,"","11th","","(43.682630005, -114.363730042)",16,"GRADE","GRADE11"
2007,"IN",16.9,13.3,21.2,502,"","11th","","(39.766910452, -86.149960194)",18,"GRADE","GRADE11"
2013,"NY",15.1,13.5,16.9,2573,"","10th","","(42.827001032, -75.543970427)",36,"GRADE","GRADE10"
2005,"ME",13.4,10.3,17.3,662,"Female","","","(45.254228894001, -68.985031336)",23,"GEN","FEMALE"
2007,"ME",12.9,10.7,15.5,1221,"","","","(45.254228894001, -68.985031336)",23,"OVR","OVERALL"
2005,"GA",13.9,11.1,17.2,407,"","11th","","(32.839681093, -83.627580346)",13,"GRADE","GRADE11"
2011,"TX",13.9,12.3,15.6,2020,"Male","","","(31.827240407, -99.426770206)",48,"GEN","MALE"
2005,"KS",13.2,11.4,15.1,1558,"","","","(38.3477403, -98.200781227)",20,"OVR","OVERALL"
2013,"NJ",18,14.4,22.3,392,"","10th","","(40.130570048, -74.273691288)",34,"GRADE","GRADE10"
2007,"KS",12.2,8.9,16.5,332,"","12th","","(38.3477403, -98.200781227)",20,"GRADE","GRADE12"
2009,"US",14.6,12.8,16.7,3934,"","12th","","",59,"GRADE","GRADE12"
2005,"AZ",11.7,9.9,13.8,1611,"Female","","","(34.86597028, -111.763811277)",4,"GEN","FEMALE"
2011,"DC",14.8,10.4,20.5,287,"","9th","","(38.890371385, -77.031961127)",11,"GRADE","GRADE09"
2005,"US",14.8,12.9,16.8,3370,"","12th","","",59,"GRADE","GRADE12"
2017,"CO",12.3,10.4,14.5,1300,"","","","(38.843840757, -106.133610921)",8,"OVR","OVERALL"
2003,"US",15.2,13.9,16.5,7031,"Male","","","",59,"GEN","MALE"
2007,"US",14.9,13.2,16.9,3306,"","11th","","",59,"GRADE","GRADE11"
2009,"MT",11.8,10.2,13.7,1768,"","","","(47.066528972, -109.424420645)",30,"OVR","OVERALL"
2015,"PR",12.2,10.1,14.7,746,"Male","","","(18.220833, -66.590149)",72,"GEN","MALE"
2003,"US",17.2,15.2,19.3,3679,"","","Hispanic","",59,"RACE","RACEHIS"
2007,"AR",16.5,14,19.3,822,"Female","","","(34.748650124, -92.274490743)",5,"GEN","FEMALE"
2017,"ME",17.2,15.4,19.2,2260,"","10th","","(45.254228894001, -68.985031336)",23,"GRADE","GRADE10"
2009,"NY",15.2,12,19.1,3041,"","9th","","(42.827001032, -75.543970427)",36,"GRADE","GRADE09"
2001,"US",15.7,14,17.6,3091,"","9th","","",59,"GRADE","GRADE09"
