"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age.years.","Education","Gender","Income","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2015,"PR",NA,NA,NA,NA,"","","","","Non-Hispanic White","(18.220833, -66.590149)",72,"RACE","RACEWHT"
2015,"PR",NA,NA,NA,NA,"","","","","Asian","(18.220833, -66.590149)",72,"RACE","RACEASN"
2015,"PR",NA,NA,NA,NA,"","","","","2 or more races","(18.220833, -66.590149)",72,"RACE","RACE2PLUS"
2015,"US",56.1,51.7,60.5,1567,"","","","","Other","",59,"RACE","RACEOTH"
2015,"PR",39,34.7,43.4,613,"25 - 34","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR2534"
2015,"PR",26.1,23,29.6,1085,"","Less than high school","","","","(18.220833, -66.590149)",72,"EDU","EDUHS"
2017,"WA",65.8,63.9,67.6,3955,"","","","$75,000 or greater","","(47.522278629, -120.47001079)",53,"INC","INC75PLUS"
2015,"GU",42.7,31.9,54.2,113,"","Less than high school","","","","(13.444304, 144.793731)",66,"EDU","EDUHS"
2015,"GU",36.9,28.5,46.2,191,"65 or older","","","","","(13.444304, 144.793731)",66,"AGEYR","AGEYR65PLUS"
2013,"MN",52.8,49,56.6,3680,"65 or older","","","","","(46.355648736, -94.794200503)",27,"AGEYR","AGEYR65PLUS"
2015,"PR",29.7,27.4,32.2,2034,"","","","Less than $15,000","","(18.220833, -66.590149)",72,"INC","INCLESS15"
2015,"US",48.5,47.6,49.3,43687,"35 - 44","","","","","",59,"AGEYR","AGEYR3544"
2019,"DC",55.4,51.7,59.1,1215,"","","Female","","","(38.89037138500049, -77.03196112699965)",11,"GEN","FEMALE"
2015,"PR",NA,NA,NA,NA,"","","","","Other","(18.220833, -66.590149)",72,"RACE","RACEOTH"
2015,"US",49.5,48.8,50.3,62039,"45 - 54","","","","","",59,"AGEYR","AGEYR4554"
2015,"US",58.9,58.4,59.5,106021,"","","","$75,000 or greater","","",59,"INC","INC75PLUS"
2015,"NJ",37.6,30.4,45.3,566,"","","","Less than $15,000","","(40.130570048, -74.273691288)",34,"INC","INCLESS15"
2017,"NY",52.7,50.2,55.1,3202,"65 or older","","","","","(42.827001032, -75.543970427)",36,"AGEYR","AGEYR65PLUS"
2015,"US",48.4,47.6,49.2,58968,"","","","Data not reported","","",59,"INC","INCNR"
2015,"US",51.3,49.2,53.4,7783,"","","","","Asian","",59,"RACE","RACEASN"
2015,"US",59.4,58.9,59.9,143919,"","College graduate","","","","",59,"EDU","EDUCOGRAD"
2015,"DC",59.7,53.7,65.4,704,"55 - 64","","","","","(38.890371385, -77.031961127)",11,"AGEYR","AGEYR5564"
2015,"US",53.9,51.6,56.2,7027,"","","","","2 or more races","",59,"RACE","RACE2PLUS"
2015,"GU",53.2,48,58.4,691,"","","Male","","","(13.444304, 144.793731)",66,"GEN","MALE"
2017,"AK",62,52.6,70.6,324,"","","","$35,000 - $49,999","","(64.845079957001, -147.722059036)",2,"INC","INC3550"
2015,"US",53.4,52.3,54.5,20204,"18 - 24","","","","","",59,"AGEYR","AGEYR1824"
2015,"PR",32.5,29.4,35.8,1327,"","High school graduate","","","","(18.220833, -66.590149)",72,"EDU","EDUHSGRAD"
2015,"PR",NA,NA,NA,NA,"","","","","American Indian/Alaska Native","(18.220833, -66.590149)",72,"RACE","RACENAA"
2015,"US",41.7,40.6,42.9,31128,"","","","Less than $15,000","","",59,"INC","INCLESS15"
2011,"MA",46,41.7,50.2,1738,"","","","Less than $15,000","","(42.27687047, -72.082690675)",25,"INC","INCLESS15"
2015,"CO",58,53.9,62,1454,"","","","$35,000 - $49,999","","(38.843840757, -106.133610921)",8,"INC","INC3550"
2011,"DE",50.6,37,64.1,79,"","","","","2 or more races","(39.008830667, -75.577741168)",10,"RACE","RACE2PLUS"
2011,"OK",45.7,43.9,47.5,6055,"","","","","Non-Hispanic White","(35.472031356, -97.521070214)",40,"RACE","RACEWHT"
2015,"CT",45.2,40.8,49.7,1074,"","","","$15,000 - $24,999","","(41.56266102, -72.649840952)",9,"INC","INC1525"
2013,"MD",46.2,42.3,50.1,1426,"","","","$50,000 - $74,999","","(39.290580964, -76.609260111)",24,"INC","INC5075"
2015,"GU",49.5,37.8,61.4,139,"","","","","Non-Hispanic White","(13.444304, 144.793731)",66,"RACE","RACEWHT"
2015,"US",52.5,51.9,53.1,105337,"","Some college or technical school","","","","",59,"EDU","EDUCOTEC"
2015,"US",44.7,43.7,45.8,25613,"","","","","Hispanic","",59,"RACE","RACEHIS"
2015,"GU",47.9,40.2,55.6,286,"35 - 44","","","","","(13.444304, 144.793731)",66,"AGEYR","AGEYR3544"
2015,"PR",40,37,43,1491,"","College graduate","","","","(18.220833, -66.590149)",72,"EDU","EDUCOGRAD"
2015,"PR",42,35.7,48.5,314,"","","","$35,000 - $49,999","","(18.220833, -66.590149)",72,"INC","INC3550"
2011,"WA",55.6,48.6,62.4,306,"","","","","Asian","(47.522278629, -120.47001079)",53,"RACE","RACEASN"
2015,"GU",53.5,43.5,63.2,220,"","","","$25,000 - $34,999","","(13.444304, 144.793731)",66,"INC","INC2535"
2015,"GU",46.4,37.8,55.2,204,"","","","$35,000 - $49,999","","(13.444304, 144.793731)",66,"INC","INC3550"
2015,"PR",30.2,27.6,33.1,1683,"65 or older","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR65PLUS"
2015,"US",54,53.4,54.5,133512,"65 or older","","","","","",59,"AGEYR","AGEYR65PLUS"
2015,"US",51.8,51.3,52.3,161495,"","","Male","","","",59,"GEN","MALE"
2019,"GU",41.6,35,48.5,352,"25 - 34","","","","","(13.444304, 144.793731)",66,"AGEYR","AGEYR2534"
2015,"US",44.3,43.4,45.2,50745,"","","","$15,000 - $24,999","","",59,"INC","INC1525"
2015,"GU",50.5,43.9,57.1,445,"","College graduate","","","","(13.444304, 144.793731)",66,"EDU","EDUCOGRAD"
2015,"PR",39.1,35.9,42.4,1306,"","Some college or technical school","","","","(18.220833, -66.590149)",72,"EDU","EDUCOTEC"
2015,"US",53.4,53.1,53.7,299531,"","","","","Non-Hispanic White","",59,"RACE","RACEWHT"
2015,"US",50.1,49.6,50.5,219988,"","","Female","","","",59,"GEN","FEMALE"
2015,"GU",48.9,45.1,52.6,1483,"","","","","","(13.444304, 144.793731)",66,"OVR","OVERALL"
2015,"US",43.9,42.8,45,28573,"","","","","Non-Hispanic Black","",59,"RACE","RACEBLK"
2015,"US",46.9,46.3,47.5,103862,"","High school graduate","","","","",59,"EDU","EDUHSGRAD"
