"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age.years.","Education","Gender","Income","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2015,"GU",27.4,18.6,38.5,125,"","","","","Hispanic","(13.444304, 144.793731)",66,"RACE","RACEHIS"
2015,"GU",29.5,19,42.7,139,"","","","","Non-Hispanic White","(13.444304, 144.793731)",66,"RACE","RACEWHT"
2015,"PR",15,11.9,18.8,612,"25 - 34","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR2534"
2015,"PR",10.1,8.5,11.9,1893,"","","Male","","","(18.220833, -66.590149)",72,"GEN","MALE"
2015,"PR",15,10.6,20.7,417,"","","","$25,000 - $34,999","","(18.220833, -66.590149)",72,"INC","INC2535"
2015,"US",15.9,15.2,16.5,50080,"","","","$15,000 - $24,999","","",59,"INC","INC1525"
2015,"WI",19.1,13.3,26.6,412,"","","","Less than $15,000","","(44.393191174, -89.816370742)",55,"INC","INCLESS15"
2015,"PR",8.5,6.5,11.1,665,"35 - 44","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR3544"
2015,"PR",4.5,3.5,5.9,2031,"","","","Less than $15,000","","(18.220833, -66.590149)",72,"INC","INCLESS15"
2015,"US",17,16.5,17.5,85255,"55 - 64","","","","","",59,"AGEYR","AGEYR5564"
2015,"US",20.9,20.6,21.2,296471,"","","","","Non-Hispanic White","",59,"RACE","RACEWHT"
2015,"PR",2.2,1.6,3.1,1682,"65 or older","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR65PLUS"
2015,"US",17,16.5,17.4,102491,"","High school graduate","","","","",59,"EDU","EDUHSGRAD"
2015,"US",20.3,18.7,22,7694,"","","","","Asian","",59,"RACE","RACEASN"
2015,"PR",8.1,7.1,9.1,5174,"","","","","Hispanic","(18.220833, -66.590149)",72,"RACE","RACEHIS"
2015,"US",12.3,11.6,13.2,26995,"","Less than high school","","","","",59,"EDU","EDUHS"
2015,"US",17,16.6,17.5,131712,"65 or older","","","","","",59,"AGEYR","AGEYR65PLUS"
2015,"OK",23.3,20.8,26.1,1910,"","College graduate","","","","(35.472031356, -97.521070214)",40,"EDU","EDUCOGRAD"
2015,"GU",24.6,16.3,35.3,174,"18 - 24","","","","","(13.444304, 144.793731)",66,"AGEYR","AGEYR1824"
2015,"US",20,19.4,20.7,43257,"35 - 44","","","","","",59,"AGEYR","AGEYR3544"
2015,"US",23,22.6,23.4,159682,"","","Male","","","",59,"GEN","MALE"
2013,"NH",NA,NA,NA,NA,"","","","","American Indian/Alaska Native","(43.655950113, -71.50036092)",33,"RACE","RACENAA"
2015,"FL",19.3,17.8,21,4788,"","","Female","","","(28.932040377, -81.928960539)",12,"GEN","FEMALE"
2015,"IA",13.9,11.8,16.3,1818,"","High school graduate","","","","(42.469400913, -93.816490556)",19,"EDU","EDUHSGRAD"
2015,"IN",11.5,6.8,18.7,441,"","","","Less than $15,000","","(39.766910452, -86.149960194)",18,"INC","INCLESS15"
2015,"PR",NA,NA,NA,NA,"","","","","Non-Hispanic White","(18.220833, -66.590149)",72,"RACE","RACEWHT"
2015,"US",18.5,17.6,19.3,25300,"","","","","Hispanic","",59,"RACE","RACEHIS"
2015,"US",38.5,31.3,46.2,664,"","","","","Hawaiian/Pacific Islander","",59,"RACE","RACEHPI"
2015,"GU",28.2,22.5,34.7,442,"","College graduate","","","","(13.444304, 144.793731)",66,"EDU","EDUCOGRAD"
2015,"GU",22.2,15.5,30.8,217,"","","","$25,000 - $34,999","","(13.444304, 144.793731)",66,"INC","INC2535"
2015,"GU",17.3,12,24.3,205,"","","","","2 or more races","(13.444304, 144.793731)",66,"RACE","RACE2PLUS"
2015,"US",17.7,16.8,18.5,34266,"","","","$25,000 - $34,999","","",59,"INC","INC2535"
2015,"PR",10.8,8.8,13.1,1304,"","Some college or technical school","","","","(18.220833, -66.590149)",72,"EDU","EDUCOTEC"
2015,"PR",21.1,14.2,30.2,162,"","","","$75,000 or greater","","(18.220833, -66.590149)",72,"INC","INC75PLUS"
2015,"GU",26.8,22.6,31.6,686,"","","Male","","","(13.444304, 144.793731)",66,"GEN","MALE"
2015,"GU",15.9,12.7,19.9,783,"","","Female","","","(13.444304, 144.793731)",66,"GEN","FEMALE"
2015,"GU",16.6,11.3,23.7,262,"55 - 64","","","","","(13.444304, 144.793731)",66,"AGEYR","AGEYR5564"
2015,"US",18.6,18.1,19.2,61491,"45 - 54","","","","","",59,"AGEYR","AGEYR4554"
2015,"PR",3.6,2.5,5.1,998,"55 - 64","","","","","(18.220833, -66.590149)",72,"AGEYR","AGEYR5564"
2015,"GU",NA,NA,NA,NA,"","","","","American Indian/Alaska Native","(13.444304, 144.793731)",66,"RACE","RACENAA"
2015,"GU",27.9,21.5,35.4,290,"","","","$75,000 or greater","","(13.444304, 144.793731)",66,"INC","INC75PLUS"
2015,"GU",19.4,11.5,30.7,125,"","","","Data not reported","","(13.444304, 144.793731)",66,"INC","INCNR"
2015,"GU",22.3,17.7,27.8,370,"","Some college or technical school","","","","(13.444304, 144.793731)",66,"EDU","EDUCOTEC"
2015,"GU",NA,NA,NA,NA,"","","","","Other","(13.444304, 144.793731)",66,"RACE","RACEOTH"
