"Year","LocationAbbr","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age.years.","Education","Gender","Income","Race.Ethnicity","GeoLocation","LocationID","StratificationCategoryId1","StratificationID1"
2017,"NJ",19.8,10.5,34.4,59,"","","","","Other","(40.130570048, -74.273691288)",34,"RACE","RACEOTH"
2013,"MI",NA,NA,NA,NA,"","","","","Hawaiian/Pacific Islander","(44.661319543001, -84.71439027)",26,"RACE","RACEHPI"
2015,"PR",10.9,9.9,12,5296,"","","","","","(18.220833, -66.590149)",72,"OVR","OVERALL"
2017,"TX",39,27.2,52.3,217,"","","","","Asian","(31.827240407, -99.426770206)",48,"RACE","RACEASN"
2015,"PR",8.8,6.6,11.6,922,"","","","Data not reported","","(18.220833, -66.590149)",72,"INC","INCNR"
2015,"GU",21.1,15.2,28.4,266,"55 - 64","","","","","(13.444304, 144.793731)",66,"AGEYR","AGEYR5564"
2015,"US",30.4,30.1,30.7,390656,"","","","","","",59,"OVR","OVERALL"
2015,"US",29.9,29,30.8,47545,"","","","$35,000 - $49,999","","",59,"INC","INC3550"
2015,"US",26.8,26.2,27.4,63677,"45 - 54","","","","","",59,"AGEYR","AGEYR4554"
2015,"PR",NA,NA,NA,NA,"","","","","Asian","(18.220833, -66.590149)",72,"RACE","RACEASN"
2017,"TX",23,19.9,26.6,2540,"","High school graduate","","","","(31.827240407, -99.426770206)",48,"EDU","EDUHSGRAD"
2015,"GU",41.4,31.3,52.2,177,"18 - 24","","","","","(13.444304, 144.793731)",66,"AGEYR","AGEYR1824"
2015,"PR",8.3,6.6,10.5,1344,"","High school graduate","","","","(18.220833, -66.590149)",72,"EDU","EDUHSGRAD"
2015,"GU",35.3,27.2,44.4,206,"","","","$35,000 - $49,999","","(13.444304, 144.793731)",66,"INC","INC3550"
2015,"PR",NA,NA,NA,NA,"","","","","American Indian/Alaska Native","(18.220833, -66.590149)",72,"RACE","RACENAA"
2015,"PR",10.8,9.8,12,5244,"","","","","Hispanic","(18.220833, -66.590149)",72,"RACE","RACEHIS"
2015,"US",28.1,27.4,28.8,62994,"","","","Data not reported","","",59,"INC","INCNR"
2015,"US",22.6,21.6,23.5,31931,"","","","Less than $15,000","","",59,"INC","INCLESS15"
2015,"PR",20.4,15.5,26.3,421,"","","","$25,000 - $34,999","","(18.220833, -66.590149)",72,"INC","INC2535"
2015,"GU",34.6,27.6,42.3,295,"","","","$75,000 or greater","","(13.444304, 144.793731)",66,"INC","INC75PLUS"
2015,"GU",30.4,24.9,36.6,432,"","","","","Asian","(13.444304, 144.793731)",66,"RACE","RACEASN"
2015,"GU",44.8,33.7,56.4,125,"","","","","Hispanic","(13.444304, 144.793731)",66,"RACE","RACEHIS"
2015,"US",35.1,34.6,35.5,164757,"","","Male","","","",59,"GEN","MALE"
2015,"PR",14.2,12,16.8,1314,"","Some college or technical school","","","","(18.220833, -66.590149)",72,"EDU","EDUCOTEC"
2013,"CA",31.2,27.6,35.1,1100,"","","","$35,000 - $49,999","","(37.638640123, -120.999999538)",6,"INC","INC3550"
2015,"GU",41.5,36.5,46.6,689,"","","Male","","","(13.444304, 144.793731)",66,"GEN","MALE"
2015,"DC",33.6,30.5,36.9,3468,"","","","","","(38.890371385, -77.031961127)",11,"OVR","OVERALL"
2015,"PR",NA,NA,NA,NA,"","","","","2 or more races","(18.220833, -66.590149)",72,"RACE","RACE2PLUS"
