,Unnamed: 0,Date,Year,Month,Unit,Animal,Weight,Type_Of_Meat
0,0,Dec-23,2023,12,Million Pounds,Beef,457.41,Red Meat
1,1,Nov-23,2023,11,Million Pounds,Beef,445.67,Red Meat
2,2,Oct-23,2023,10,Million Pounds,Beef,420.85,Red Meat
3,3,Sep-23,2023,9,Million Pounds,Beef,395.4,Red Meat
4,4,Aug-23,2023,8,Million Pounds,Beef,410.46,Red Meat
5,5,Jul-23,2023,7,Million Pounds,Beef,410.74,Red Meat
6,6,Jun-23,2023,6,Million Pounds,Beef,425.66,Red Meat
7,7,May-23,2023,5,Million Pounds,Beef,452.08,Red Meat
8,8,Apr-23,2023,4,Million Pounds,Beef,477.81,Red Meat
9,9,Mar-23,2023,3,Million Pounds,Beef,500.78,Red Meat
10,10,Feb-23,2023,2,Million Pounds,Beef,534.03,Red Meat
11,11,Jan-23,2023,1,Million Pounds,Beef,543.96,Red Meat
12,12,Dec-22,2022,12,Million Pounds,Beef,523.25,Red Meat
13,13,Nov-22,2022,11,Million Pounds,Beef,510.25,Red Meat
14,14,Oct-22,2022,10,Million Pounds,Beef,526.14,Red Meat
15,15,Sep-22,2022,9,Million Pounds,Beef,513.79,Red Meat
16,16,Aug-22,2022,8,Million Pounds,Beef,511.85,Red Meat
17,17,Jul-22,2022,7,Million Pounds,Beef,516.79,Red Meat
18,18,Jun-22,2022,6,Million Pounds,Beef,526.12,Red Meat
19,19,May-22,2022,5,Million Pounds,Beef,532.17,Red Meat
20,20,Apr-22,2022,4,Million Pounds,Beef,535.84,Red Meat
21,21,Mar-22,2022,3,Million Pounds,Beef,531.57,Red Meat
22,22,Feb-22,2022,2,Million Pounds,Beef,525.72,Red Meat
23,23,Jan-22,2022,1,Million Pounds,Beef,507.12,Red Meat
24,24,Dec-21,2021,12,Million Pounds,Beef,490.41,Red Meat
25,25,Nov-21,2021,11,Million Pounds,Beef,473.76,Red Meat
26,26,Oct-21,2021,10,Million Pounds,Beef,439.62,Red Meat
27,27,Sep-21,2021,9,Million Pounds,Beef,414.9,Red Meat
28,28,Aug-21,2021,8,Million Pounds,Beef,400.84,Red Meat
29,29,Jul-21,2021,7,Million Pounds,Beef,401.52,Red Meat
30,30,Jun-21,2021,6,Million Pounds,Beef,416.68,Red Meat
31,31,May-21,2021,5,Million Pounds,Beef,448.85,Red Meat
32,32,Apr-21,2021,4,Million Pounds,Beef,482.99,Red Meat
33,33,Mar-21,2021,3,Million Pounds,Beef,512.53,Red Meat
