Date,Year,Month,Unit,Production,Animal,Commercial or Federally Inspected,Type of Meat
Dec-2023,2023,12,Million Pounds,2189.8,Beef,Commercial,Red Meat
Nov-2023,2023,11,Million Pounds,2280.9,Beef,Commercial,Red Meat
Oct-2023,2023,10,Million Pounds,2340.9,Beef,Commercial,Red Meat
Sep-2023,2023,9,Million Pounds,2149.4,Beef,Commercial,Red Meat
Aug-2023,2023,8,Million Pounds,2363.5,Beef,Commercial,Red Meat
Jul-2023,2023,7,Million Pounds,2107.9,Beef,Commercial,Red Meat
Jun-2023,2023,6,Million Pounds,2335.0,Beef,Commercial,Red Meat
May-2023,2023,5,Million Pounds,2305.8,Beef,Commercial,Red Meat
Apr-2023,2023,4,Million Pounds,2069.4,Beef,Commercial,Red Meat
Mar-2023,2023,3,Million Pounds,2404.8,Beef,Commercial,Red Meat
Feb-2023,2023,2,Million Pounds,2092.2,Beef,Commercial,Red Meat
Jan-2023,2023,1,Million Pounds,2324.6,Beef,Commercial,Red Meat
Dec-2022,2022,12,Million Pounds,2225.6,Beef,Commercial,Red Meat
Nov-2022,2022,11,Million Pounds,2422.0,Beef,Commercial,Red Meat
Oct-2022,2022,10,Million Pounds,2404.3,Beef,Commercial,Red Meat
Sep-2022,2022,9,Million Pounds,2390.1,Beef,Commercial,Red Meat
Aug-2022,2022,8,Million Pounds,2506.0,Beef,Commercial,Red Meat
Jul-2022,2022,7,Million Pounds,2247.8,Beef,Commercial,Red Meat
Jun-2022,2022,6,Million Pounds,2456.0,Beef,Commercial,Red Meat
May-2022,2022,5,Million Pounds,2288.9,Beef,Commercial,Red Meat
Apr-2022,2022,4,Million Pounds,2326.7,Beef,Commercial,Red Meat
Mar-2022,2022,3,Million Pounds,2506.7,Beef,Commercial,Red Meat
Feb-2022,2022,2,Million Pounds,2250.2,Beef,Commercial,Red Meat
Jan-2022,2022,1,Million Pounds,2266.4,Beef,Commercial,Red Meat
Dec-2021,2021,12,Million Pounds,2362.5,Beef,Commercial,Red Meat
Nov-2021,2021,11,Million Pounds,2380.1,Beef,Commercial,Red Meat
Oct-2021,2021,10,Million Pounds,2363.5,Beef,Commercial,Red Meat
Sep-2021,2021,9,Million Pounds,2300.0,Beef,Commercial,Red Meat
Aug-2021,2021,8,Million Pounds,2360.6,Beef,Commercial,Red Meat
Jul-2021,2021,7,Million Pounds,2318.6,Beef,Commercial,Red Meat
Jun-2021,2021,6,Million Pounds,2400.7,Beef,Commercial,Red Meat
May-2021,2021,5,Million Pounds,2213.9,Beef,Commercial,Red Meat
Apr-2021,2021,4,Million Pounds,2348.6,Beef,Commercial,Red Meat
Mar-2021,2021,3,Million Pounds,2481.7,Beef,Commercial,Red Meat
Feb-2021,2021,2,Million Pounds,2107.6,Beef,Commercial,Red Meat
Jan-2021,2021,1,Million Pounds,2310.4,Beef,Commercial,Red Meat
Dec-2020,2020,12,Million Pounds,2327.4,Beef,Commercial,Red Meat
Nov-2020,2020,11,Million Pounds,2267.3,Beef,Commercial,Red Meat
Oct-2020,2020,10,Million Pounds,2474.2,Beef,Commercial,Red Meat
Sep-2020,2020,9,Million Pounds,2356.5,Beef,Commercial,Red Meat
Aug-2020,2020,8,Million Pounds,2335.6,Beef,Commercial,Red Meat
Jul-2020,2020,7,Million Pounds,2423.2,Beef,Commercial,Red Meat
Jun-2020,2020,6,Million Pounds,2375.7,Beef,Commercial,Red Meat
May-2020,2020,5,Million Pounds,1865.6,Beef,Commercial,Red Meat
Apr-2020,2020,4,Million Pounds,1817.3,Beef,Commercial,Red Meat
Mar-2020,2020,3,Million Pounds,2411.2,Beef,Commercial,Red Meat
Feb-2020,2020,2,Million Pounds,2131.3,Beef,Commercial,Red Meat
Jan-2020,2020,1,Million Pounds,2388.4,Beef,Commercial,Red Meat
Dec-2019,2019,12,Million Pounds,2265.1,Beef,Commercial,Red Meat
Nov-2019,2019,11,Million Pounds,2296.9,Beef,Commercial,Red Meat
Oct-2019,2019,10,Million Pounds,2439.3,Beef,Commercial,Red Meat
Sep-2019,2019,9,Million Pounds,2188.6,Beef,Commercial,Red Meat
Aug-2019,2019,8,Million Pounds,2373.4,Beef,Commercial,Red Meat
Jul-2019,2019,7,Million Pounds,2360.7,Beef,Commercial,Red Meat
Jun-2019,2019,6,Million Pounds,2227.1,Beef,Commercial,Red Meat
May-2019,2019,5,Million Pounds,2328.0,Beef,Commercial,Red Meat
Apr-2019,2019,4,Million Pounds,2261.7,Beef,Commercial,Red Meat
Mar-2019,2019,3,Million Pounds,2117.1,Beef,Commercial,Red Meat
Feb-2019,2019,2,Million Pounds,1987.1,Beef,Commercial,Red Meat
Jan-2019,2019,1,Million Pounds,2309.6,Beef,Commercial,Red Meat
Dec-2018,2018,12,Million Pounds,2116.0,Beef,Commercial,Red Meat
Nov-2018,2018,11,Million Pounds,2315.1,Beef,Commercial,Red Meat
Oct-2018,2018,10,Million Pounds,2430.6,Beef,Commercial,Red Meat
Sep-2018,2018,9,Million Pounds,2157.5,Beef,Commercial,Red Meat
Aug-2018,2018,8,Million Pounds,2429.6,Beef,Commercial,Red Meat
Jul-2018,2018,7,Million Pounds,2231.6,Beef,Commercial,Red Meat
Jun-2018,2018,6,Million Pounds,2300.9,Beef,Commercial,Red Meat
May-2018,2018,5,Million Pounds,2307.0,Beef,Commercial,Red Meat
Apr-2018,2018,4,Million Pounds,2117.7,Beef,Commercial,Red Meat
Mar-2018,2018,3,Million Pounds,2203.5,Beef,Commercial,Red Meat
Feb-2018,2018,2,Million Pounds,1983.9,Beef,Commercial,Red Meat
Jan-2018,2018,1,Million Pounds,2279.0,Beef,Commercial,Red Meat
Dec-2017,2017,12,Million Pounds,2148.4,Beef,Commercial,Red Meat
Nov-2017,2017,11,Million Pounds,2290.6,Beef,Commercial,Red Meat
Oct-2017,2017,10,Million Pounds,2303.0,Beef,Commercial,Red Meat
Sep-2017,2017,9,Million Pounds,2225.6,Beef,Commercial,Red Meat
Aug-2017,2017,8,Million Pounds,2402.1,Beef,Commercial,Red Meat
Jul-2017,2017,7,Million Pounds,2107.9,Beef,Commercial,Red Meat
Jun-2017,2017,6,Million Pounds,2280.3,Beef,Commercial,Red Meat
May-2017,2017,5,Million Pounds,2163.4,Beef,Commercial,Red Meat
Apr-2017,2017,4,Million Pounds,1963.1,Beef,Commercial,Red Meat
Mar-2017,2017,3,Million Pounds,2249.7,Beef,Commercial,Red Meat
Feb-2017,2017,2,Million Pounds,1933.9,Beef,Commercial,Red Meat
Jan-2017,2017,1,Million Pounds,2119.3,Beef,Commercial,Red Meat
Dec-2016,2016,12,Million Pounds,2173.3,Beef,Commercial,Red Meat
Nov-2016,2016,11,Million Pounds,2240.2,Beef,Commercial,Red Meat
Oct-2016,2016,10,Million Pounds,2211.2,Beef,Commercial,Red Meat
Sep-2016,2016,9,Million Pounds,2181.5,Beef,Commercial,Red Meat
Aug-2016,2016,8,Million Pounds,2265.8,Beef,Commercial,Red Meat
Jul-2016,2016,7,Million Pounds,2024.2,Beef,Commercial,Red Meat
Jun-2016,2016,6,Million Pounds,2193.0,Beef,Commercial,Red Meat
May-2016,2016,5,Million Pounds,2030.2,Beef,Commercial,Red Meat
Apr-2016,2016,4,Million Pounds,1964.0,Beef,Commercial,Red Meat
Mar-2016,2016,3,Million Pounds,2097.3,Beef,Commercial,Red Meat
Feb-2016,2016,2,Million Pounds,1886.0,Beef,Commercial,Red Meat
Jan-2016,2016,1,Million Pounds,1954.2,Beef,Commercial,Red Meat
Dec-2015,2015,12,Million Pounds,2046.3,Beef,Commercial,Red Meat
Nov-2015,2015,11,Million Pounds,1936.1,Beef,Commercial,Red Meat
Oct-2015,2015,10,Million Pounds,2126.3,Beef,Commercial,Red Meat
Sep-2015,2015,9,Million Pounds,2086.6,Beef,Commercial,Red Meat
Aug-2015,2015,8,Million Pounds,1934.9,Beef,Commercial,Red Meat
Jul-2015,2015,7,Million Pounds,2046.8,Beef,Commercial,Red Meat
Jun-2015,2015,6,Million Pounds,2001.6,Beef,Commercial,Red Meat
May-2015,2015,5,Million Pounds,1925.5,Beef,Commercial,Red Meat
Apr-2015,2015,4,Million Pounds,1928.8,Beef,Commercial,Red Meat
Mar-2015,2015,3,Million Pounds,1933.3,Beef,Commercial,Red Meat
Feb-2015,2015,2,Million Pounds,1768.1,Beef,Commercial,Red Meat
Jan-2015,2015,1,Million Pounds,1963.5,Beef,Commercial,Red Meat
Dec-2014,2014,12,Million Pounds,2000.2,Beef,Commercial,Red Meat
Nov-2014,2014,11,Million Pounds,1849.5,Beef,Commercial,Red Meat
Oct-2014,2014,10,Million Pounds,2171.1,Beef,Commercial,Red Meat
Sep-2014,2014,9,Million Pounds,2068.4,Beef,Commercial,Red Meat
Aug-2014,2014,8,Million Pounds,2023.5,Beef,Commercial,Red Meat
Jul-2014,2014,7,Million Pounds,2087.4,Beef,Commercial,Red Meat
Jun-2014,2014,6,Million Pounds,2069.0,Beef,Commercial,Red Meat
May-2014,2014,5,Million Pounds,2071.7,Beef,Commercial,Red Meat
Apr-2014,2014,4,Million Pounds,2043.1,Beef,Commercial,Red Meat
Mar-2014,2014,3,Million Pounds,1937.0,Beef,Commercial,Red Meat
Feb-2014,2014,2,Million Pounds,1788.4,Beef,Commercial,Red Meat
Jan-2014,2014,1,Million Pounds,2140.9,Beef,Commercial,Red Meat
Dec-2013,2013,12,Million Pounds,2047.3,Beef,Commercial,Red Meat
Nov-2013,2013,11,Million Pounds,2057.6,Beef,Commercial,Red Meat
Oct-2013,2013,10,Million Pounds,2318.2,Beef,Commercial,Red Meat
Sep-2013,2013,9,Million Pounds,2073.8,Beef,Commercial,Red Meat
Aug-2013,2013,8,Million Pounds,2241.2,Beef,Commercial,Red Meat
Jul-2013,2013,7,Million Pounds,2294.1,Beef,Commercial,Red Meat
Jun-2013,2013,6,Million Pounds,2157.0,Beef,Commercial,Red Meat
May-2013,2013,5,Million Pounds,2227.6,Beef,Commercial,Red Meat
Apr-2013,2013,4,Million Pounds,2128.6,Beef,Commercial,Red Meat
Mar-2013,2013,3,Million Pounds,2039.8,Beef,Commercial,Red Meat
Feb-2013,2013,2,Million Pounds,1873.4,Beef,Commercial,Red Meat
Jan-2013,2013,1,Million Pounds,2261.3,Beef,Commercial,Red Meat
Dec-2012,2012,12,Million Pounds,2020.1,Beef,Commercial,Red Meat
Nov-2012,2012,11,Million Pounds,2207.5,Beef,Commercial,Red Meat
Oct-2012,2012,10,Million Pounds,2344.8,Beef,Commercial,Red Meat
Sep-2012,2012,9,Million Pounds,2015.5,Beef,Commercial,Red Meat
Aug-2012,2012,8,Million Pounds,2368.6,Beef,Commercial,Red Meat
Jul-2012,2012,7,Million Pounds,2201.4,Beef,Commercial,Red Meat
Jun-2012,2012,6,Million Pounds,2250.7,Beef,Commercial,Red Meat
May-2012,2012,5,Million Pounds,2231.9,Beef,Commercial,Red Meat
Apr-2012,2012,4,Million Pounds,1990.6,Beef,Commercial,Red Meat
Mar-2012,2012,3,Million Pounds,2159.5,Beef,Commercial,Red Meat
Feb-2012,2012,2,Million Pounds,2008.9,Beef,Commercial,Red Meat
Jan-2012,2012,1,Million Pounds,2113.1,Beef,Commercial,Red Meat
Dec-2011,2011,12,Million Pounds,2126.3,Beef,Commercial,Red Meat
Nov-2011,2011,11,Million Pounds,2148.8,Beef,Commercial,Red Meat
Oct-2011,2011,10,Million Pounds,2215.1,Beef,Commercial,Red Meat
Sep-2011,2011,9,Million Pounds,2215.2,Beef,Commercial,Red Meat
Aug-2011,2011,8,Million Pounds,2386.9,Beef,Commercial,Red Meat
Jul-2011,2011,7,Million Pounds,2134.1,Beef,Commercial,Red Meat
Jun-2011,2011,6,Million Pounds,2375.0,Beef,Commercial,Red Meat
May-2011,2011,5,Million Pounds,2131.9,Beef,Commercial,Red Meat
Apr-2011,2011,4,Million Pounds,2052.5,Beef,Commercial,Red Meat
Mar-2011,2011,3,Million Pounds,2266.2,Beef,Commercial,Red Meat
Feb-2011,2011,2,Million Pounds,2020.4,Beef,Commercial,Red Meat
