Date,Year,Month,Unit,Animal,Count,Commercial_Or_Federally_Inspected,Type_Of_Meat
Dec-2023,2023,12,"1,000 Head",Cattle,2593.4,Commercial,Red Meat
Nov-2023,2023,11,"1,000 Head",Cattle,2729.9,Commercial,Red Meat
Oct-2023,2023,10,"1,000 Head",Cattle,2826.0,Commercial,Red Meat
Sep-2023,2023,9,"1,000 Head",Cattle,2610.6,Commercial,Red Meat
Aug-2023,2023,8,"1,000 Head",Cattle,2890.0,Commercial,Red Meat
Jul-2023,2023,7,"1,000 Head",Cattle,2597.8,Commercial,Red Meat
Jun-2023,2023,6,"1,000 Head",Cattle,2894.3,Commercial,Red Meat
May-2023,2023,5,"1,000 Head",Cattle,2839.7,Commercial,Red Meat
Apr-2023,2023,4,"1,000 Head",Cattle,2543.9,Commercial,Red Meat
Mar-2023,2023,3,"1,000 Head",Cattle,2938.7,Commercial,Red Meat
Feb-2023,2023,2,"1,000 Head",Cattle,2548.3,Commercial,Red Meat
Jan-2023,2023,1,"1,000 Head",Cattle,2826.8,Commercial,Red Meat
Dec-2022,2022,12,"1,000 Head",Cattle,2684.7,Commercial,Red Meat
Nov-2022,2022,11,"1,000 Head",Cattle,2904.9,Commercial,Red Meat
Oct-2022,2022,10,"1,000 Head",Cattle,2902.9,Commercial,Red Meat
Sep-2022,2022,9,"1,000 Head",Cattle,2897.8,Commercial,Red Meat
Aug-2022,2022,8,"1,000 Head",Cattle,3076.1,Commercial,Red Meat
Jul-2022,2022,7,"1,000 Head",Cattle,2779.6,Commercial,Red Meat
Jun-2022,2022,6,"1,000 Head",Cattle,3044.7,Commercial,Red Meat
May-2022,2022,5,"1,000 Head",Cattle,2815.6,Commercial,Red Meat
Apr-2022,2022,4,"1,000 Head",Cattle,2813.0,Commercial,Red Meat
Mar-2022,2022,3,"1,000 Head",Cattle,3016.1,Commercial,Red Meat
Feb-2022,2022,2,"1,000 Head",Cattle,2686.6,Commercial,Red Meat
Jan-2022,2022,1,"1,000 Head",Cattle,2703.3,Commercial,Red Meat
Dec-2021,2021,12,"1,000 Head",Cattle,2824.3,Commercial,Red Meat
Nov-2021,2021,11,"1,000 Head",Cattle,2859.5,Commercial,Red Meat
Oct-2021,2021,10,"1,000 Head",Cattle,2850.1,Commercial,Red Meat
Sep-2021,2021,9,"1,000 Head",Cattle,2790.1,Commercial,Red Meat
Aug-2021,2021,8,"1,000 Head",Cattle,2886.9,Commercial,Red Meat
Jul-2021,2021,7,"1,000 Head",Cattle,2849.7,Commercial,Red Meat
Jun-2021,2021,6,"1,000 Head",Cattle,2955.0,Commercial,Red Meat
May-2021,2021,5,"1,000 Head",Cattle,2702.9,Commercial,Red Meat
Apr-2021,2021,4,"1,000 Head",Cattle,2852.4,Commercial,Red Meat
Mar-2021,2021,3,"1,000 Head",Cattle,3008.0,Commercial,Red Meat
Feb-2021,2021,2,"1,000 Head",Cattle,2525.5,Commercial,Red Meat
Jan-2021,2021,1,"1,000 Head",Cattle,2746.0,Commercial,Red Meat
Dec-2020,2020,12,"1,000 Head",Cattle,2785.3,Commercial,Red Meat
Nov-2020,2020,11,"1,000 Head",Cattle,2707.9,Commercial,Red Meat
Oct-2020,2020,10,"1,000 Head",Cattle,2950.1,Commercial,Red Meat
Sep-2020,2020,9,"1,000 Head",Cattle,2815.1,Commercial,Red Meat
Aug-2020,2020,8,"1,000 Head",Cattle,2805.5,Commercial,Red Meat
Jul-2020,2020,7,"1,000 Head",Cattle,2921.1,Commercial,Red Meat
Jun-2020,2020,6,"1,000 Head",Cattle,2879.1,Commercial,Red Meat
May-2020,2020,5,"1,000 Head",Cattle,2278.0,Commercial,Red Meat
Apr-2020,2020,4,"1,000 Head",Cattle,2241.7,Commercial,Red Meat
Mar-2020,2020,3,"1,000 Head",Cattle,2922.3,Commercial,Red Meat
Feb-2020,2020,2,"1,000 Head",Cattle,2578.9,Commercial,Red Meat
