Date,Year,Month,Unit,Animal,Weight,Commercial_Or_Federally_Inspected,Live_Or_Dressed,Type_Of_Meat
Dec-2023,2023,12,Average Weight in Pounds,Cattle,1401.0,Commercial,Live,Red Meat
Nov-2023,2023,11,Average Weight in Pounds,Cattle,1387.0,Commercial,Live,Red Meat
Oct-2023,2023,10,Average Weight in Pounds,Cattle,1374.0,Commercial,Live,Red Meat
Sep-2023,2023,9,Average Weight in Pounds,Cattle,1362.0,Commercial,Live,Red Meat
Aug-2023,2023,8,Average Weight in Pounds,Cattle,1350.0,Commercial,Live,Red Meat
Jul-2023,2023,7,Average Weight in Pounds,Cattle,1344.0,Commercial,Live,Red Meat
Jun-2023,2023,6,Average Weight in Pounds,Cattle,1338.0,Commercial,Live,Red Meat
May-2023,2023,5,Average Weight in Pounds,Cattle,1349.0,Commercial,Live,Red Meat
Apr-2023,2023,4,Average Weight in Pounds,Cattle,1354.0,Commercial,Live,Red Meat
Mar-2023,2023,3,Average Weight in Pounds,Cattle,1366.0,Commercial,Live,Red Meat
Feb-2023,2023,2,Average Weight in Pounds,Cattle,1374.0,Commercial,Live,Red Meat
Jan-2023,2023,1,Average Weight in Pounds,Cattle,1380.0,Commercial,Live,Red Meat
Dec-2022,2022,12,Average Weight in Pounds,Cattle,1384.0,Commercial,Live,Red Meat
Nov-2022,2022,11,Average Weight in Pounds,Cattle,1384.0,Commercial,Live,Red Meat
Oct-2022,2022,10,Average Weight in Pounds,Cattle,1375.0,Commercial,Live,Red Meat
Sep-2022,2022,9,Average Weight in Pounds,Cattle,1364.0,Commercial,Live,Red Meat
Aug-2022,2022,8,Average Weight in Pounds,Cattle,1348.0,Commercial,Live,Red Meat
Jul-2022,2022,7,Average Weight in Pounds,Cattle,1341.0,Commercial,Live,Red Meat
Jun-2022,2022,6,Average Weight in Pounds,Cattle,1339.0,Commercial,Live,Red Meat
May-2022,2022,5,Average Weight in Pounds,Cattle,1351.0,Commercial,Live,Red Meat
Apr-2022,2022,4,Average Weight in Pounds,Cattle,1373.0,Commercial,Live,Red Meat
Mar-2022,2022,3,Average Weight in Pounds,Cattle,1384.0,Commercial,Live,Red Meat
Feb-2022,2022,2,Average Weight in Pounds,Cattle,1395.0,Commercial,Live,Red Meat
Jan-2022,2022,1,Average Weight in Pounds,Cattle,1398.0,Commercial,Live,Red Meat
Dec-2021,2021,12,Average Weight in Pounds,Cattle,1392.0,Commercial,Live,Red Meat
Nov-2021,2021,11,Average Weight in Pounds,Cattle,1382.0,Commercial,Live,Red Meat
Oct-2021,2021,10,Average Weight in Pounds,Cattle,1376.0,Commercial,Live,Red Meat
Sep-2021,2021,9,Average Weight in Pounds,Cattle,1365.0,Commercial,Live,Red Meat
Aug-2021,2021,8,Average Weight in Pounds,Cattle,1354.0,Commercial,Live,Red Meat
Jul-2021,2021,7,Average Weight in Pounds,Cattle,1349.0,Commercial,Live,Red Meat
Jun-2021,2021,6,Average Weight in Pounds,Cattle,1346.0,Commercial,Live,Red Meat
May-2021,2021,5,Average Weight in Pounds,Cattle,1360.0,Commercial,Live,Red Meat
Apr-2021,2021,4,Average Weight in Pounds,Cattle,1366.0,Commercial,Live,Red Meat
Mar-2021,2021,3,Average Weight in Pounds,Cattle,1372.0,Commercial,Live,Red Meat
Feb-2021,2021,2,Average Weight in Pounds,Cattle,1390.0,Commercial,Live,Red Meat
Jan-2021,2021,1,Average Weight in Pounds,Cattle,1399.0,Commercial,Live,Red Meat
Dec-2020,2020,12,Average Weight in Pounds,Cattle,1389.0,Commercial,Live,Red Meat
Nov-2020,2020,11,Average Weight in Pounds,Cattle,1387.0,Commercial,Live,Red Meat
Oct-2020,2020,10,Average Weight in Pounds,Cattle,1385.0,Commercial,Live,Red Meat
Sep-2020,2020,9,Average Weight in Pounds,Cattle,1379.0,Commercial,Live,Red Meat
Aug-2020,2020,8,Average Weight in Pounds,Cattle,1365.0,Commercial,Live,Red Meat
Jul-2020,2020,7,Average Weight in Pounds,Cattle,1363.0,Commercial,Live,Red Meat
Jun-2020,2020,6,Average Weight in Pounds,Cattle,1365.0,Commercial,Live,Red Meat
May-2020,2020,5,Average Weight in Pounds,Cattle,1367.0,Commercial,Live,Red Meat
Apr-2020,2020,4,Average Weight in Pounds,Cattle,1353.0,Commercial,Live,Red Meat
Mar-2020,2020,3,Average Weight in Pounds,Cattle,1368.0,Commercial,Live,Red Meat
Feb-2020,2020,2,Average Weight in Pounds,Cattle,1376.0,Commercial,Live,Red Meat
Jan-2020,2020,1,Average Weight in Pounds,Cattle,1375.0,Commercial,Live,Red Meat
