Year,Data_Value,Income,StratificationCategoryId1,StratificationID1,Mean household income (dollars),Median household income (dollars),LocationDesc
2011,29.3,,AGEYR,AGEYR65PLUS,"84,767","69,014",Alaska
2011,22.7,Data not reported,INC,INCNR,"84,767","69,014",Alaska
2011,19.8,,AGEYR,AGEYR1824,"84,767","69,014",Alaska
2011,22.1,,EDU,EDUCOGRAD,"84,767","69,014",Alaska
2011,29.5,,AGEYR,AGEYR3544,"84,767","69,014",Alaska
2011,27.4,,OVR,OVERALL,"84,767","69,014",Alaska
2011,33.4,,AGEYR,AGEYR5564,"84,767","69,014",Alaska
2011,31.5,,RACE,RACEHIS,"84,767","69,014",Alaska
2011,24.5,"$35,000 - $49,999",INC,INC3550,"84,767","69,014",Alaska
2011,29.2,,AGEYR,AGEYR4554,"84,767","69,014",Alaska
2011,28.8,,EDU,EDUHS,"84,767","69,014",Alaska
2011,30.9,,RACE,RACENAA,"84,767","69,014",Alaska
2011,23.3,,RACE,RACE2PLUS,"84,767","69,014",Alaska
2011,25.9,,RACE,RACEWHT,"84,767","69,014",Alaska
2011,26.9,"$75,000 or greater",INC,INC75PLUS,"84,767","69,014",Alaska
2011,26.7,,GEN,FEMALE,"84,767","69,014",Alaska
2011,25.8,,EDU,EDUCOTEC,"84,767","69,014",Alaska
2011,28.0,,GEN,MALE,"84,767","69,014",Alaska
2011,23.5,,AGEYR,AGEYR2534,"84,767","69,014",Alaska
2011,33.6,"Less than $15,000",INC,INCLESS15,"84,767","69,014",Alaska
2011,30.2,"$15,000 - $24,999",INC,INC1525,"84,767","69,014",Alaska
2011,33.1,,EDU,EDUHSGRAD,"84,767","69,014",Alaska
2011,35.5,,RACE,RACEOTH,"84,767","69,014",Alaska
2011,27.8,"$50,000 - $74,999",INC,INC5075,"84,767","69,014",Alaska
2011,32.2,"$25,000 - $34,999",INC,INC2535,"84,767","69,014",Alaska
2012,25.7,,OVR,OVERALL,"86,208","69,917",Alaska
2012,23.3,,EDU,EDUHS,"86,208","69,917",Alaska
2012,32.6,,AGEYR,AGEYR4554,"86,208","69,917",Alaska
2012,29.4,"Less than $15,000",INC,INCLESS15,"86,208","69,917",Alaska
2012,20.1,,AGEYR,AGEYR2534,"86,208","69,917",Alaska
2012,26.8,,AGEYR,AGEYR65PLUS,"86,208","69,917",Alaska
2012,26.0,,RACE,RACEWHT,"86,208","69,917",Alaska
2012,26.4,"$75,000 or greater",INC,INC75PLUS,"86,208","69,917",Alaska
2012,39.0,,RACE,RACEBLK,"86,208","69,917",Alaska
2012,31.9,,RACE,RACENAA,"86,208","69,917",Alaska
2012,30.3,,AGEYR,AGEYR3544,"86,208","69,917",Alaska
2012,24.9,,EDU,EDUCOGRAD,"86,208","69,917",Alaska
2012,20.2,Data not reported,INC,INCNR,"86,208","69,917",Alaska
2012,25.4,,GEN,FEMALE,"86,208","69,917",Alaska
2012,32.3,,AGEYR,AGEYR5564,"86,208","69,917",Alaska
2012,9.0,,AGEYR,AGEYR1824,"86,208","69,917",Alaska
2012,28.4,"$50,000 - $74,999",INC,INC5075,"86,208","69,917",Alaska
2012,25.9,,GEN,MALE,"86,208","69,917",Alaska
2012,22.4,,RACE,RACE2PLUS,"86,208","69,917",Alaska
2012,2.3,,RACE,RACEASN,"86,208","69,917",Alaska
2012,21.1,,RACE,RACEHIS,"86,208","69,917",Alaska
2012,21.5,,RACE,RACEOTH,"86,208","69,917",Alaska
2012,24.2,"$15,000 - $24,999",INC,INC1525,"86,208","69,917",Alaska
2012,25.8,,EDU,EDUHSGRAD,"86,208","69,917",Alaska
2012,26.9,,EDU,EDUCOTEC,"86,208","69,917",Alaska
2012,24.0,"$25,000 - $34,999",INC,INC2535,"86,208","69,917",Alaska
2012,27.3,"$35,000 - $49,999",INC,INC3550,"86,208","69,917",Alaska
2013,32.3,"$50,000 - $74,999",INC,INC5075,"87,235","70,760",Alaska
2013,19.6,Data not reported,INC,INCNR,"87,235","70,760",Alaska
2013,29.2,,GEN,MALE,"87,235","70,760",Alaska
2013,28.2,,EDU,EDUHS,"87,235","70,760",Alaska
2013,33.1,,EDU,EDUHSGRAD,"87,235","70,760",Alaska
2013,31.7,"$35,000 - $49,999",INC,INC3550,"87,235","70,760",Alaska
2013,27.5,,GEN,FEMALE,"87,235","70,760",Alaska
2013,26.4,,RACE,RACEWHT,"87,235","70,760",Alaska
2013,12.6,,AGEYR,AGEYR1824,"87,235","70,760",Alaska
2013,27.0,"$75,000 or greater",INC,INC75PLUS,"87,235","70,760",Alaska
2013,31.7,,RACE,RACEHIS,"87,235","70,760",Alaska
2013,29.8,,AGEYR,AGEYR4554,"87,235","70,760",Alaska
2013,30.3,,RACE,RACEASN,"87,235","70,760",Alaska
2013,28.4,,OVR,OVERALL,"87,235","70,760",Alaska
2013,24.5,"$25,000 - $34,999",INC,INC2535,"87,235","70,760",Alaska
2013,33.5,,AGEYR,AGEYR3544,"87,235","70,760",Alaska
2013,21.2,,EDU,EDUCOGRAD,"87,235","70,760",Alaska
2013,33.6,,RACE,RACENAA,"87,235","70,760",Alaska
2013,29.6,,EDU,EDUCOTEC,"87,235","70,760",Alaska
2013,28.1,,AGEYR,AGEYR2534,"87,235","70,760",Alaska
2013,29.3,"Less than $15,000",INC,INCLESS15,"87,235","70,760",Alaska
2013,23.2,,RACE,RACE2PLUS,"87,235","70,760",Alaska
2013,32.7,"$15,000 - $24,999",INC,INC1525,"87,235","70,760",Alaska
2013,33.1,,AGEYR,AGEYR5564,"87,235","70,760",Alaska
2013,39.5,,RACE,RACEBLK,"87,235","70,760",Alaska
2013,30.4,,AGEYR,AGEYR65PLUS,"87,235","70,760",Alaska
2014,35.2,,AGEYR,AGEYR4554,"88,583","71,829",Alaska
2014,29.3,,GEN,MALE,"88,583","71,829",Alaska
2014,42.3,,RACE,RACEBLK,"88,583","71,829",Alaska
2014,30.2,"$50,000 - $74,999",INC,INC5075,"88,583","71,829",Alaska
2014,34.0,,EDU,EDUCOTEC,"88,583","71,829",Alaska
2014,32.8,,EDU,EDUHS,"88,583","71,829",Alaska
2014,34.0,,RACE,RACE2PLUS,"88,583","71,829",Alaska
2014,28.0,,AGEYR,AGEYR2534,"88,583","71,829",Alaska
2014,28.3,,EDU,EDUHSGRAD,"88,583","71,829",Alaska
2014,31.5,"Less than $15,000",INC,INCLESS15,"88,583","71,829",Alaska
2014,29.3,"$75,000 or greater",INC,INC75PLUS,"88,583","71,829",Alaska
2014,29.7,,OVR,OVERALL,"88,583","71,829",Alaska
2014,33.8,,RACE,RACENAA,"88,583","71,829",Alaska
2014,32.9,"$25,000 - $34,999",INC,INC2535,"88,583","71,829",Alaska
2014,23.4,,EDU,EDUCOGRAD,"88,583","71,829",Alaska
2014,29.6,,AGEYR,AGEYR65PLUS,"88,583","71,829",Alaska
